complaint_id,description,violation_category
C01280,caught siya na nang-insulto ng teacher sa gym. (posting destructive language online),Posting Destructive Language Online
C01281,As stated in the complaint nag-aaway sa computer lab. (engaging in premarital sex),Engaging in Premarital Sex
C01282,nagreport si teacher na naglagay ng sticker sa ID malapit sa gate. (wearing scarves or caps),Wearing Scarves or Caps
C01283,sinabihan ako na naglagay ng sticker sa ID sa canteen. (assault fellow students),Assault Fellow Students
C01284,The student was caught nag-aaway sa hallway. (lack of respect to faculty),Lack of Respect to Faculty
C01285,The student was observed nangopya sa hallway. (recruitment in sororities/fraternities),Recruitment in Sororities/Fraternities
C01286,The student was caught nagyoyosi sa classroom. (cybersecurity breach (plagiarism)),Cybersecurity Breach (Plagiarism)
C01287,Based on teacher's report naka improper uniform sa computer lab. (cybersecurity breach (plagiarism)),Cybersecurity Breach (Plagiarism)
C01288,It was reported that nakipagsuntukan malapit sa gate. (viewing pornographic sites),Viewing Pornographic Sites
C01289,The student was caught nangopya sa canteen. (inciting others to break rules),Inciting Others to Break Rules
C01290,It was reported that nakipagsuntukan sa hallway. (engaging in premarital sex),Engaging in Premarital Sex
C01291,The student was caught nangopya sa computer lab. (smoking or drinking alcohol on campus),Smoking or Drinking Alcohol on Campus
C01292,sinabihan ako na naglagay ng sticker sa ID sa library. (wearing scarves or caps),Wearing Scarves or Caps
C01293,The student was caught sumisigaw sa hallway. (grave threats),Grave Threats
C01294,may nagsumbong na naglagay ng sticker sa ID sa library. (bullying students verbally),Bullying Students Verbally
C01295,Based on teacher's report walang suot na ID sa hallway. (drug pushing),Drug Pushing
C01296,sinabihan ako na naka improper uniform malapit sa gate. (bringing dishonor to school),Bringing Dishonor to School
C01297,nagreport si teacher na nakipagsuntukan sa computer lab. (drug pushing),Drug Pushing
C01298,nakita ko na sumisigaw sa library. (cybersecurity breach (plagiarism)),Cybersecurity Breach (Plagiarism)
C01299,sinabihan ako na nangopya sa canteen. (shoplifting),Shoplifting
C01300,As stated in the complaint naka improper uniform sa library. (forging signatures),Forging Signatures
C01301,nakita ko na nangopya sa canteen. (willful damage of property),Willful Damage of Property
C01302,nakita ko na naka improper uniform sa library. (willful damage of property),Willful Damage of Property
C01303,nagreport si teacher na nagche-cheat sa exam sa computer lab. (spreading gossip online),Spreading Gossip Online
C01304,sinabihan ako na nang-insulto ng teacher sa canteen. (not following prescribed haircut),Not Following Prescribed Haircut
C01305,The student was observed nangopya sa library. (spreading gossip online),Spreading Gossip Online
C01306,The student was observed nagche-cheat sa exam sa gym. (gambling or betting),Gambling or Betting
C01307,The student was observed nagdala ng cellphone kahit bawal sa canteen. (viewing pornographic sites),Viewing Pornographic Sites
C01308,nahuli siya na nag-aaway sa canteen. (colored nail polish),Colored Nail Polish
C01309,nahuli siya na nagyoyosi sa canteen. (colored or dyed hair/beard),Colored or Dyed Hair/Beard
C01310,The student was caught nangopya malapit sa gate. (extortion or blackmail),Extortion or Blackmail
C01311,The student was caught nagche-cheat sa exam sa gym. (indecent attire),Indecent Attire
C01312,It was reported that nagpost ng bastos na picture sa classroom. (willful damage of property),Willful Damage of Property
C01313,nagreport si teacher na naka improper uniform malapit sa gate. (forging signatures),Forging Signatures
C01314,The student was observed walang suot na ID sa canteen. (shouting or making noise in public areas),Shouting or Making Noise in Public Areas
C01315,nakita ko na sumisigaw sa library. (verbal or physical altercation),Verbal or Physical Altercation
C01316,nahuli siya na sumisigaw sa canteen. (providing or financing drugs),Providing or Financing Drugs
C01317,The student was caught sumisigaw sa canteen. (recruitment in sororities/fraternities),Recruitment in Sororities/Fraternities
C01318,The student was caught sumisigaw sa hallway. (using another person’s identity),Using Another Person’s Identity
C01319,nakita ko na naglagay ng sticker sa ID malapit sa gate. (public display of affection),Public Display of Affection
C01320,The student was caught nagpost ng bastos na picture sa library. (real acts of threat),Real Acts of Threat
C01321,The student was observed nangopya malapit sa gate. (forgery),Forgery
C01322,caught siya na nakipagsuntukan sa library. (bullying students verbally),Bullying Students Verbally
C01323,It was reported that walang suot na ID sa gym. (posting destructive language online),Posting Destructive Language Online
C01324,As stated in the complaint naglagay ng sticker sa ID sa computer lab. (use of foul language),Use of Foul Language
C01325,nahuli siya na walang suot na ID malapit sa gate. (vandalism),Vandalism
C01326,As stated in the complaint nagyoyosi sa classroom. (direct assault on authority),Direct Assault on Authority
C01327,According to CCTV footage sumisigaw malapit sa gate. (posting destructive language online),Posting Destructive Language Online
C01328,According to CCTV footage nagyoyosi sa computer lab. (bullying students physically),Bullying Students Physically
C01329,nagreport si teacher na nagpost ng bastos na picture malapit sa gate. (assault fellow students),Assault Fellow Students
C01330,The student was observed nangopya sa classroom. (falsification of documents),Falsification of Documents
C01331,caught siya na nakipagsuntukan sa computer lab. (gambling or betting),Gambling or Betting
C01332,nahuli siya na nangopya sa hallway. (drug pushing),Drug Pushing
C01333,nakita ko na walang suot na ID sa hallway. (not following prescribed haircut),Not Following Prescribed Haircut
C01334,According to CCTV footage naglagay ng sticker sa ID sa hallway. (conviction for criminal offense),Conviction for Criminal Offense
C01335,Based on teacher's report uminom ng alak sa library. (bullying students verbally),Bullying Students Verbally
C01336,According to CCTV footage nagpost ng bastos na picture malapit sa gate. (colored nail polish),Colored Nail Polish
C01337,According to CCTV footage naglagay ng sticker sa ID sa gym. (bringing dishonor to school),Bringing Dishonor to School
C01338,According to CCTV footage nagdala ng cellphone kahit bawal sa hallway. (littering the campus),Littering the Campus
C01339,nagreport si teacher na nagpost ng bastos na picture sa gym. (bringing dishonor to school),Bringing Dishonor to School
C01340,Based on teacher's report nangopya sa canteen. (public display of affection),Public Display of Affection
C01341,sinabihan ako na naka improper uniform sa computer lab. (using another person’s identity),Using Another Person’s Identity
C01342,nakita ko na nagpost ng bastos na picture sa library. (wearing school uniform improperly),Wearing School Uniform Improperly
C01343,caught siya na walang suot na ID sa hallway. (bullying students physically),Bullying Students Physically
C01344,The student was caught nang-insulto ng teacher sa classroom. (lack of respect to faculty),Lack of Respect to Faculty
C01345,According to CCTV footage nagpost ng bastos na picture sa canteen. (consistent violation of rules),Consistent Violation of Rules
C01346,The student was caught naglagay ng sticker sa ID sa library. (falsification of documents),Falsification of Documents
C01347,caught siya na nagpost ng bastos na picture sa computer lab. (unauthorized use of information),Unauthorized Use of Information
C01348,It was reported that nangopya sa computer lab. (viewing pornographic sites),Viewing Pornographic Sites
C01349,may nagsumbong na nagche-cheat sa exam malapit sa gate. (vandalism),Vandalism
C01350,The student was observed nagyoyosi sa gym. (use of foul language),Use of Foul Language
C01351,Based on teacher's report uminom ng alak sa computer lab. (conviction for criminal offense),Conviction for Criminal Offense
C01352,caught siya na nagpost ng bastos na picture sa library. (viewing pornographic sites),Viewing Pornographic Sites
C01353,The student was observed nangopya malapit sa gate. (conviction for criminal offense),Conviction for Criminal Offense
C01354,According to CCTV footage naglagay ng sticker sa ID sa hallway. (placing stickers on school id),Placing Stickers on School ID
C01355,nagreport si teacher na nang-insulto ng teacher malapit sa gate. (littering the campus),Littering the Campus
C01356,may nagsumbong na nagdala ng cellphone kahit bawal sa hallway. (viewing pornographic sites),Viewing Pornographic Sites
C01357,nahuli siya na walang suot na ID malapit sa gate. (unauthorized access to school computer),Unauthorized Access to School Computer
C01358,The student was caught nang-insulto ng teacher malapit sa gate. (membership in fraternities),Membership in Fraternities
C01359,The student was caught walang suot na ID sa hallway. (real acts of threat),Real Acts of Threat
C01360,The student was caught nangopya sa library. (membership in fraternities),Membership in Fraternities
C01361,The student was observed sumisigaw sa gym. (indecent attire),Indecent Attire
C01362,caught siya na nagdala ng cellphone kahit bawal sa hallway. (bullying faculty members),Bullying Faculty Members
C01363,It was reported that sumisigaw sa gym. (unauthorized access to school computer),Unauthorized Access to School Computer
C01364,nakita ko na walang suot na ID sa canteen. (lending/borrowing another person’s id),Lending/Borrowing Another Person’s ID
C01365,The student was observed nangopya sa gym. (wearing school uniform improperly),Wearing School Uniform Improperly
C01366,According to CCTV footage nagdala ng cellphone kahit bawal sa computer lab. (membership in fraternities),Membership in Fraternities
C01367,Based on teacher's report nang-insulto ng teacher malapit sa gate. (bullying students physically),Bullying Students Physically
C01368,As stated in the complaint sumisigaw sa canteen. (posting destructive language online),Posting Destructive Language Online
C01369,It was reported that nagdala ng cellphone kahit bawal sa canteen. (engaging in premarital sex),Engaging in Premarital Sex
C01370,sinabihan ako na nagdala ng cellphone kahit bawal sa library. (viewing pornographic sites),Viewing Pornographic Sites
C01371,The student was caught uminom ng alak malapit sa gate. (stealing school or student property),Stealing School or Student Property
C01372,It was reported that nag-aaway sa gym. (placing stickers on school id),Placing Stickers on School ID
C01373,sinabihan ako na walang suot na ID sa computer lab. (smoking or drinking alcohol on campus),Smoking or Drinking Alcohol on Campus
C01374,The student was observed walang suot na ID sa canteen. (wearing accessories not part of uniform),Wearing Accessories Not Part of Uniform
C01375,nakita ko na nag-aaway sa hallway. (recruitment in sororities/fraternities),Recruitment in Sororities/Fraternities
C01376,may nagsumbong na uminom ng alak sa classroom. (unauthorized use of information),Unauthorized Use of Information
C01377,The student was caught nag-aaway sa gym. (tampering with network settings),Tampering with Network Settings
C01378,sinabihan ako na nangopya sa computer lab. (not attending school activities),Not Attending School Activities
C01379,According to CCTV footage nagche-cheat sa exam sa gym. (possession or use of weapons or drugs),Possession or Use of Weapons or Drugs
C01380,As stated in the complaint nagche-cheat sa exam sa canteen. (wearing scarves or caps),Wearing Scarves or Caps
C01381,The student was observed nagdala ng cellphone kahit bawal sa computer lab. (unexcused tardiness/absence from class),Unexcused Tardiness/Absence From Class
C01382,caught siya na nangopya sa classroom. (grave threats),Grave Threats
C01383,The student was caught nagdala ng cellphone kahit bawal sa hallway. (immoral conduct on/off campus),Immoral Conduct On/Off Campus
C01384,It was reported that naka improper uniform sa library. (possession or use of weapons or drugs),Possession or Use of Weapons or Drugs
C01385,The student was observed nag-aaway sa computer lab. (wearing improper pe uniform),Wearing Improper PE Uniform
C01386,Based on teacher's report naglagay ng sticker sa ID sa computer lab. (unauthorized enrichment or theft attempt),Unauthorized Enrichment or Theft Attempt
C01387,sinabihan ako na sumisigaw sa computer lab. (providing or financing drugs),Providing or Financing Drugs
C01388,The student was observed nakipagsuntukan sa computer lab. (littering the campus),Littering the Campus
C01389,As stated in the complaint nangopya sa hallway. (direct assault on authority),Direct Assault on Authority
C01390,Based on teacher's report nang-insulto ng teacher sa hallway. (bullying faculty members),Bullying Faculty Members
C01391,According to CCTV footage nang-insulto ng teacher sa hallway. (bullying students physically),Bullying Students Physically
C01392,The student was caught nang-insulto ng teacher sa canteen. (colored nail polish),Colored Nail Polish
C01393,nakita ko na nagdala ng cellphone kahit bawal malapit sa gate. (falsification of documents),Falsification of Documents
C01394,The student was observed nangopya malapit sa gate. (smoking or drinking alcohol on campus),Smoking or Drinking Alcohol on Campus
C01395,caught siya na nagche-cheat sa exam sa hallway. (participating in indecent conduct),Participating in Indecent Conduct
C01396,It was reported that naka improper uniform sa classroom. (wearing improper pe uniform),Wearing Improper PE Uniform
C01397,caught siya na nangopya sa library. (shouting or making noise in public areas),Shouting or Making Noise in Public Areas
C01398,Based on teacher's report walang suot na ID sa classroom. (indecent attire),Indecent Attire
C01399,nagreport si teacher na uminom ng alak sa library. (engaging in premarital sex),Engaging in Premarital Sex
C01400,It was reported that nakipagsuntukan malapit sa gate. (forgery),Forgery
C01401,Based on teacher's report naglagay ng sticker sa ID sa canteen. (drug pushing),Drug Pushing
C01402,caught siya na nang-insulto ng teacher sa library. (lending/borrowing another person’s id),Lending/Borrowing Another Person’s ID
C01403,The student was caught naglagay ng sticker sa ID sa hallway. (littering the campus),Littering the Campus
C01404,sinabihan ako na nakipagsuntukan sa canteen. (wearing scarves or caps),Wearing Scarves or Caps
C01405,nakita ko na nagyoyosi sa computer lab. (purchase or sale of alcohol/cigarettes),Purchase or Sale of Alcohol/Cigarettes
C01406,As stated in the complaint naglagay ng sticker sa ID sa library. (willful damage of property),Willful Damage of Property
C01407,nagreport si teacher na naglagay ng sticker sa ID sa hallway. (forgery),Forgery
C01408,may nagsumbong na naglagay ng sticker sa ID malapit sa gate. (consistent violation of rules),Consistent Violation of Rules
C01409,The student was caught naka improper uniform sa hallway. (jumping over the fence),Jumping Over the Fence
C01410,The student was observed naka improper uniform malapit sa gate. (forgery),Forgery
C01411,nahuli siya na nag-aaway sa computer lab. (conviction for criminal offense),Conviction for Criminal Offense
C01412,The student was caught uminom ng alak sa canteen. (engaging in premarital sex),Engaging in Premarital Sex
C01413,According to CCTV footage nagdala ng cellphone kahit bawal sa classroom. (extortion or blackmail),Extortion or Blackmail
C01414,nahuli siya na naglagay ng sticker sa ID sa library. (deleting or damaging files),Deleting or Damaging Files
C01415,Based on teacher's report nagdala ng cellphone kahit bawal sa canteen. (public display of affection),Public Display of Affection
C01416,It was reported that nagpost ng bastos na picture sa canteen. (forgery),Forgery
C01417,may nagsumbong na nagyoyosi sa canteen. (bullying students verbally),Bullying Students Verbally
C01418,The student was observed nagche-cheat sa exam sa hallway. (conviction for criminal offense),Conviction for Criminal Offense
C01419,nakita ko na naglagay ng sticker sa ID sa hallway. (recruitment in sororities/fraternities),Recruitment in Sororities/Fraternities
C01420,nahuli siya na naglagay ng sticker sa ID sa library. (wearing school uniform improperly),Wearing School Uniform Improperly
C01421,According to CCTV footage naglagay ng sticker sa ID sa hallway. (engaging in trouble outside campus),Engaging in Trouble Outside Campus
C01422,The student was caught nang-insulto ng teacher sa gym. (using foul gestures),Using Foul Gestures
C01423,According to CCTV footage walang suot na ID sa gym. (falsification of documents),Falsification of Documents
C01424,nahuli siya na nagdala ng cellphone kahit bawal sa library. (viewing pornographic sites),Viewing Pornographic Sites
C01425,caught siya na naka improper uniform sa classroom. (public display of affection),Public Display of Affection
C01426,nagreport si teacher na nakipagsuntukan sa classroom. (possession or use of weapons or drugs),Possession or Use of Weapons or Drugs
C01427,As stated in the complaint nakipagsuntukan sa hallway. (deleting or damaging files),Deleting or Damaging Files
C01428,Based on teacher's report naka improper uniform malapit sa gate. (immoral conduct on/off campus),Immoral Conduct On/Off Campus
C01429,The student was observed nagyoyosi sa computer lab. (using foul gestures),Using Foul Gestures
C01430,nahuli siya na sumisigaw sa classroom. (providing or financing drugs),Providing or Financing Drugs
C01431,The student was caught nag-aaway sa canteen. (wearing accessories not part of uniform),Wearing Accessories Not Part of Uniform
C01432,According to CCTV footage nagche-cheat sa exam malapit sa gate. (leaving classroom without permission),Leaving Classroom Without Permission
C01433,sinabihan ako na sumisigaw malapit sa gate. (gambling or betting),Gambling or Betting
C01434,nakita ko na walang suot na ID malapit sa gate. (indecent attire),Indecent Attire
C01435,may nagsumbong na naglagay ng sticker sa ID sa hallway. (tampering with network settings),Tampering with Network Settings
C01436,The student was caught uminom ng alak sa canteen. (littering the campus),Littering the Campus
C01437,caught siya na nangopya sa hallway. (jumping over the fence),Jumping Over the Fence
C01438,nahuli siya na uminom ng alak sa classroom. (recruitment in sororities/fraternities),Recruitment in Sororities/Fraternities
C01439,It was reported that naglagay ng sticker sa ID malapit sa gate. (using foul gestures),Using Foul Gestures
C01440,The student was observed naglagay ng sticker sa ID malapit sa gate. (wearing scarves or caps),Wearing Scarves or Caps
C01441,Based on teacher's report nagdala ng cellphone kahit bawal malapit sa gate. (using foul gestures),Using Foul Gestures
C01442,According to CCTV footage nang-insulto ng teacher sa classroom. (falsification of documents),Falsification of Documents
C01443,The student was observed naka improper uniform sa classroom. (grave threats),Grave Threats
C01444,nahuli siya na nagche-cheat sa exam malapit sa gate. (unexcused tardiness/absence from class),Unexcused Tardiness/Absence From Class
C01445,The student was caught nagche-cheat sa exam sa gym. (bullying students physically),Bullying Students Physically
C01446,caught siya na nangopya sa computer lab. (vandalism),Vandalism
C01447,Based on teacher's report naka improper uniform sa classroom. (deleting or damaging files),Deleting or Damaging Files
C01448,It was reported that nag-aaway sa canteen. (shoplifting),Shoplifting
C01449,The student was observed nangopya malapit sa gate. (not attending school activities),Not Attending School Activities
C01450,nahuli siya na nagpost ng bastos na picture sa hallway. (verbal or physical altercation),Verbal or Physical Altercation
C01451,caught siya na naglagay ng sticker sa ID sa hallway. (colored nail polish),Colored Nail Polish
C01452,caught siya na nag-aaway sa library. (disobedience or disrespect to authority),Disobedience or Disrespect to Authority
C01453,may nagsumbong na uminom ng alak sa hallway. (spreading gossip online),Spreading Gossip Online
C01454,nagreport si teacher na sumisigaw sa canteen. (unexcused tardiness/absence from class),Unexcused Tardiness/Absence From Class
C01455,Based on teacher's report nagdala ng cellphone kahit bawal sa gym. (viewing pornographic sites),Viewing Pornographic Sites
C01456,The student was caught nagdala ng cellphone kahit bawal sa classroom. (inciting others to break rules),Inciting Others to Break Rules
C01457,caught siya na sumisigaw sa classroom. (bringing dishonor to school),Bringing Dishonor to School
C01458,Based on teacher's report naka improper uniform sa hallway. (drug pushing),Drug Pushing
C01459,The student was caught naka improper uniform sa hallway. (immoral conduct on/off campus),Immoral Conduct On/Off Campus
C01460,caught siya na nagpost ng bastos na picture sa computer lab. (organizing destructive groups),Organizing Destructive Groups
C01461,As stated in the complaint naka improper uniform sa canteen. (indecent attire),Indecent Attire
C01462,According to CCTV footage nagpost ng bastos na picture sa classroom. (lending/borrowing another person’s id),Lending/Borrowing Another Person’s ID
C01463,nahuli siya na nagche-cheat sa exam sa library. (wearing accessories not part of uniform),Wearing Accessories Not Part of Uniform
C01464,As stated in the complaint nagyoyosi sa library. (not following prescribed haircut),Not Following Prescribed Haircut
C01465,nakita ko na walang suot na ID malapit sa gate. (disobedience or disrespect to authority),Disobedience or Disrespect to Authority
C01466,sinabihan ako na nagdala ng cellphone kahit bawal sa gym. (willful damage of property),Willful Damage of Property
C01467,It was reported that walang suot na ID sa library. (extortion or blackmail),Extortion or Blackmail
C01468,The student was observed nagyoyosi sa computer lab. (viewing pornographic sites),Viewing Pornographic Sites
C01469,The student was caught nagdala ng cellphone kahit bawal sa computer lab. (direct assault on authority),Direct Assault on Authority
C01470,The student was observed naglagay ng sticker sa ID sa computer lab. (extortion or blackmail),Extortion or Blackmail
C01471,nakita ko na nakipagsuntukan sa classroom. (falsification of documents),Falsification of Documents
C01472,The student was caught nagche-cheat sa exam sa gym. (posting destructive language online),Posting Destructive Language Online
C01473,caught siya na nagche-cheat sa exam sa hallway. (unauthorized use of information),Unauthorized Use of Information
C01474,According to CCTV footage naka improper uniform malapit sa gate. (wearing inappropriate/incomplete uniform),Wearing Inappropriate/Incomplete Uniform
C01475,The student was caught nangopya sa library. (viewing pornographic sites),Viewing Pornographic Sites
C01476,caught siya na naglagay ng sticker sa ID malapit sa gate. (inciting others to break rules),Inciting Others to Break Rules
C01477,The student was caught walang suot na ID malapit sa gate. (littering the campus),Littering the Campus
C01478,caught siya na nagyoyosi sa gym. (failure to comply with investigation),Failure to Comply with Investigation
C01479,According to CCTV footage nag-aaway sa computer lab. (colored or dyed hair/beard),Colored or Dyed Hair/Beard
C01480,nakita ko na nag-aaway sa canteen. (drug pushing),Drug Pushing
C01481,nagreport si teacher na naglagay ng sticker sa ID sa computer lab. (wearing inappropriate/incomplete uniform),Wearing Inappropriate/Incomplete Uniform
C01482,caught siya na naglagay ng sticker sa ID sa gym. (membership in fraternities),Membership in Fraternities
C01483,According to CCTV footage naglagay ng sticker sa ID sa gym. (organizing destructive groups),Organizing Destructive Groups
C01484,The student was caught nang-insulto ng teacher sa library. (gambling or betting),Gambling or Betting
C01485,As stated in the complaint nag-aaway sa library. (membership in fraternities),Membership in Fraternities
C01486,It was reported that nagpost ng bastos na picture sa library. (unexcused tardiness/absence from class),Unexcused Tardiness/Absence From Class
C01487,nahuli siya na nagyoyosi sa library. (assault fellow students),Assault Fellow Students
C01488,nagreport si teacher na nagyoyosi sa gym. (not following prescribed haircut),Not Following Prescribed Haircut
C01489,According to CCTV footage naglagay ng sticker sa ID sa gym. (displaying pornographic materials),Displaying Pornographic Materials
C01490,sinabihan ako na naglagay ng sticker sa ID sa computer lab. (consistent violation of rules),Consistent Violation of Rules
C01491,nahuli siya na nangopya sa hallway. (inciting others to break rules),Inciting Others to Break Rules
C01492,The student was observed uminom ng alak malapit sa gate. (wearing accessories not part of uniform),Wearing Accessories Not Part of Uniform
C01493,Based on teacher's report naka improper uniform sa hallway. (drug pushing),Drug Pushing
C01494,nakita ko na nagyoyosi sa library. (shoplifting),Shoplifting
C01495,nakita ko na sumisigaw sa hallway. (public display of affection),Public Display of Affection
C01496,nahuli siya na nagyoyosi sa canteen. (grave threats),Grave Threats
C01497,caught siya na naglagay ng sticker sa ID sa hallway. (using gadgets without permission),Using Gadgets Without Permission
C01498,According to CCTV footage nag-aaway malapit sa gate. (unauthorized access to school computer),Unauthorized Access to School Computer
C01499,caught siya na walang suot na ID sa classroom. (unexcused tardiness/absence from class),Unexcused Tardiness/Absence From Class
C01500,The student was observed nag-aaway sa canteen. (posting destructive language online),Posting Destructive Language Online
C01501,may nagsumbong na sumisigaw sa hallway. (using gadgets without permission),Using Gadgets Without Permission
C01502,caught siya na nagche-cheat sa exam sa classroom. (deleting or damaging files),Deleting or Damaging Files
C01503,The student was observed naglagay ng sticker sa ID malapit sa gate. (drug pushing),Drug Pushing
C01504,According to CCTV footage nangopya sa gym. (failure to comply with investigation),Failure to Comply with Investigation
C01505,According to CCTV footage nagpost ng bastos na picture malapit sa gate. (not following prescribed haircut),Not Following Prescribed Haircut
C01506,As stated in the complaint sumisigaw sa classroom. (using foul gestures),Using Foul Gestures
C01507,nahuli siya na nang-insulto ng teacher sa gym. (forgery),Forgery
C01508,may nagsumbong na nangopya sa library. (immoral conduct on/off campus),Immoral Conduct On/Off Campus
C01509,As stated in the complaint nagpost ng bastos na picture malapit sa gate. (forgery),Forgery
C01510,It was reported that walang suot na ID sa computer lab. (posting destructive language online),Posting Destructive Language Online
C01511,may nagsumbong na nagpost ng bastos na picture sa computer lab. (shouting or making noise in public areas),Shouting or Making Noise in Public Areas
C01512,According to CCTV footage nag-aaway sa computer lab. (lending/borrowing another person’s id),Lending/Borrowing Another Person’s ID
C01513,nagreport si teacher na nag-aaway sa classroom. (forgery),Forgery
C01514,sinabihan ako na nangopya sa classroom. (jumping over the fence),Jumping Over the Fence
C01515,The student was observed naglagay ng sticker sa ID sa hallway. (littering the campus),Littering the Campus
C01516,caught siya na walang suot na ID sa canteen. (inciting others to break rules),Inciting Others to Break Rules
C01517,According to CCTV footage walang suot na ID sa canteen. (failure to comply with investigation),Failure to Comply with Investigation
C01518,nakita ko na nagpost ng bastos na picture sa canteen. (real acts of threat),Real Acts of Threat
C01519,nahuli siya na naglagay ng sticker sa ID sa classroom. (forgery),Forgery
C01520,Based on teacher's report uminom ng alak sa classroom. (wearing improper pe uniform),Wearing Improper PE Uniform
C01521,caught siya na nagdala ng cellphone kahit bawal malapit sa gate. (consistent violation of rules),Consistent Violation of Rules
C01522,The student was caught uminom ng alak sa classroom. (organizing destructive groups),Organizing Destructive Groups
C01523,As stated in the complaint walang suot na ID sa gym. (deleting or damaging files),Deleting or Damaging Files
C01524,According to CCTV footage nagyoyosi sa hallway. (gambling or betting),Gambling or Betting
C01525,may nagsumbong na nagyoyosi sa library. (unauthorized enrichment or theft attempt),Unauthorized Enrichment or Theft Attempt
C01526,As stated in the complaint walang suot na ID malapit sa gate. (conviction for criminal offense),Conviction for Criminal Offense
C01527,nahuli siya na sumisigaw malapit sa gate. (bringing dishonor to school),Bringing Dishonor to School
C01528,It was reported that nag-aaway sa canteen. (bullying students verbally),Bullying Students Verbally
C01529,As stated in the complaint nang-insulto ng teacher sa computer lab. (leaving classroom without permission),Leaving Classroom Without Permission
C01530,Based on teacher's report nagyoyosi sa gym. (shoplifting),Shoplifting
C01531,may nagsumbong na naglagay ng sticker sa ID malapit sa gate. (engaging in gambling),Engaging in Gambling
C01532,The student was observed nagdala ng cellphone kahit bawal malapit sa gate. (consistent violation of rules),Consistent Violation of Rules
C01533,The student was caught uminom ng alak sa classroom. (placing stickers on school id),Placing Stickers on School ID
C01534,According to CCTV footage nagche-cheat sa exam sa computer lab. (use of foul language),Use of Foul Language
C01535,It was reported that naglagay ng sticker sa ID sa classroom. (indecent attire),Indecent Attire
C01536,nagreport si teacher na naka improper uniform sa computer lab. (cybersecurity breach (plagiarism)),Cybersecurity Breach (Plagiarism)
C01537,As stated in the complaint nang-insulto ng teacher sa canteen. (wearing improper pe uniform),Wearing Improper PE Uniform
C01538,sinabihan ako na nagche-cheat sa exam sa hallway. (wearing inappropriate/incomplete uniform),Wearing Inappropriate/Incomplete Uniform
C01539,According to CCTV footage nagyoyosi sa gym. (spreading gossip online),Spreading Gossip Online
C01540,may nagsumbong na nangopya sa canteen. (indecency in media),Indecency in Media
C01541,As stated in the complaint nang-insulto ng teacher sa computer lab. (assault fellow students),Assault Fellow Students
C01542,nagreport si teacher na sumisigaw malapit sa gate. (bullying faculty members),Bullying Faculty Members
C01543,It was reported that nagyoyosi sa canteen. (conviction for criminal offense),Conviction for Criminal Offense
C01544,may nagsumbong na nagdala ng cellphone kahit bawal sa gym. (wearing improper pe uniform),Wearing Improper PE Uniform
C01545,sinabihan ako na nagpost ng bastos na picture sa canteen. (wearing ripped or revealing clothes),Wearing Ripped or Revealing Clothes
C01546,The student was observed naka improper uniform sa canteen. (wearing ripped or revealing clothes),Wearing Ripped or Revealing Clothes
C01547,caught siya na sumisigaw sa computer lab. (engaging in trouble outside campus),Engaging in Trouble Outside Campus
C01548,nahuli siya na sumisigaw sa canteen. (inciting others to break rules),Inciting Others to Break Rules
C01549,sinabihan ako na nag-aaway sa canteen. (insubordination to authorities),Insubordination to Authorities
C01550,nagreport si teacher na sumisigaw malapit sa gate. (not attending school activities),Not Attending School Activities
C01551,may nagsumbong na uminom ng alak sa library. (jumping over the fence),Jumping Over the Fence
C01552,The student was observed nagpost ng bastos na picture sa library. (stealing school or student property),Stealing School or Student Property
C01553,The student was caught nakipagsuntukan malapit sa gate. (direct assault on authority),Direct Assault on Authority
C01554,As stated in the complaint nangopya sa classroom. (drug pushing),Drug Pushing
C01555,may nagsumbong na uminom ng alak sa classroom. (displaying pornographic materials),Displaying Pornographic Materials
C01556,may nagsumbong na nag-aaway sa canteen. (wearing accessories not part of uniform),Wearing Accessories Not Part of Uniform
C01557,It was reported that nagyoyosi sa library. (insubordination to authorities),Insubordination to Authorities
C01558,nagreport si teacher na sumisigaw sa canteen. (bullying students verbally),Bullying Students Verbally
C01559,sinabihan ako na nagyoyosi sa library. (indecent attire),Indecent Attire
C01560,nagreport si teacher na nang-insulto ng teacher sa library. (wearing heavy make-up),Wearing Heavy Make-up
C01561,It was reported that naglagay ng sticker sa ID sa computer lab. (lack of respect to faculty),Lack of Respect to Faculty
C01562,The student was caught nagyoyosi sa canteen. (organizing destructive groups),Organizing Destructive Groups
C01563,As stated in the complaint nagche-cheat sa exam sa gym. (participating in indecent conduct),Participating in Indecent Conduct
C01564,The student was caught sumisigaw sa hallway. (consistent violation of rules),Consistent Violation of Rules
C01565,nahuli siya na nagyoyosi sa library. (conviction for criminal offense),Conviction for Criminal Offense
C01566,nakita ko na naka improper uniform sa canteen. (gambling or betting),Gambling or Betting
C01567,Based on teacher's report sumisigaw sa canteen. (using foul gestures),Using Foul Gestures
C01568,It was reported that nagdala ng cellphone kahit bawal malapit sa gate. (viewing pornographic sites),Viewing Pornographic Sites
C01569,The student was observed nangopya sa library. (unauthorized enrichment or theft attempt),Unauthorized Enrichment or Theft Attempt
C01570,According to CCTV footage nag-aaway sa library. (stealing school or student property),Stealing School or Student Property
C01571,nakita ko na nangopya sa gym. (colored or dyed hair/beard),Colored or Dyed Hair/Beard
C01572,nagreport si teacher na nangopya sa computer lab. (unauthorized access to school computer),Unauthorized Access to School Computer
