frequency,repeated_major_count,repeated_minor_count,ongoing_incident_count,total_incidents,is_major,no_violation_count,avg_severity,behavior_ratio,will_reoffend_same_violation,next_repeated_violation
11,5,3,2,20,0,3,0.65,2.75,1,Verbal Or Physical Altercation Between Students Or Group Of Students
17,3,2,1,16,1,0,0.5,17.0,0,Verbal Or Physical Altercation Between Students Or Group Of Students
20,0,3,2,27,1,1,0.111,10.0,1,Verbal Or Physical Altercation Between Students Or Group Of Students
13,0,8,2,13,1,9,0.615,1.3,1,Verbal Or Physical Altercation Between Students Or Group Of Students
8,0,7,2,24,1,11,0.292,0.667,1,Verbal Or Physical Altercation Between Students Or Group Of Students
11,0,6,0,6,1,15,1.0,0.688,1,Verbal Or Physical Altercation Between Students Or Group Of Students
20,1,5,1,19,1,7,0.368,2.5,1,Verbal Or Physical Altercation Between Students Or Group Of Students
9,3,1,0,13,1,4,0.538,1.8,1,Verbal Or Physical Altercation Between Students Or Group Of Students
1,2,6,0,9,1,7,1.111,0.125,1,Verbal Or Physical Altercation Between Students Or Group Of Students
5,5,8,0,21,0,13,0.857,0.357,0,Verbal Or Physical Altercation Between Students Or Group Of Students
5,1,5,0,26,0,13,0.269,0.357,1,Verbal Or Physical Altercation Between Students Or Group Of Students
15,3,1,0,27,0,3,0.259,3.75,1,Verbal Or Physical Altercation Between Students Or Group Of Students
19,0,6,2,9,1,15,0.667,1.188,1,Verbal Or Physical Altercation Between Students Or Group Of Students
17,3,6,1,20,0,11,0.6,1.417,1,Verbal Or Physical Altercation Between Students Or Group Of Students
16,4,8,0,9,0,13,1.778,1.143,1,Verbal Or Physical Altercation Between Students Or Group Of Students
19,0,7,0,6,0,9,1.167,1.9,1,Verbal Or Physical Altercation Between Students Or Group Of Students
18,2,0,2,15,1,12,0.267,1.385,1,Verbal Or Physical Altercation Between Students Or Group Of Students
5,5,4,0,13,1,2,1.077,1.667,1,Verbal Or Physical Altercation Between Students Or Group Of Students
18,2,5,0,4,0,4,2.25,3.6,1,Verbal Or Physical Altercation Between Students Or Group Of Students
19,1,1,1,5,1,14,0.6,1.267,1,Verbal Or Physical Altercation Between Students Or Group Of Students
14,5,4,2,20,0,5,0.7,2.333,1,Verbal Or Physical Altercation Between Students Or Group Of Students
17,5,6,0,27,1,10,0.593,1.545,1,Verbal Or Physical Altercation Between Students Or Group Of Students
1,4,5,1,26,1,3,0.5,0.25,1,Verbal Or Physical Altercation Between Students Or Group Of Students
20,4,4,1,23,0,11,0.522,1.667,0,Verbal Or Physical Altercation Between Students Or Group Of Students
9,1,8,1,11,0,0,0.909,9.0,1,Verbal Or Physical Altercation Between Students Or Group Of Students
15,3,5,1,29,1,11,0.379,1.25,0,Verbal Or Physical Altercation Between Students Or Group Of Students
2,1,8,1,21,1,5,0.476,0.333,0,Verbal Or Physical Altercation Between Students Or Group Of Students
8,0,4,2,10,0,3,0.4,2.0,1,Verbal Or Physical Altercation Between Students Or Group Of Students
10,1,1,1,19,1,12,0.158,0.769,1,Verbal Or Physical Altercation Between Students Or Group Of Students
1,1,2,1,18,1,2,0.222,0.333,1,Verbal Or Physical Altercation Between Students Or Group Of Students
9,5,8,2,12,1,10,1.5,0.818,1,Verbal Or Physical Altercation Between Students Or Group Of Students
12,2,0,2,17,0,3,0.235,3.0,1,Verbal Or Physical Altercation Between Students Or Group Of Students
6,3,4,1,30,0,3,0.333,1.5,0,Verbal Or Physical Altercation Between Students Or Group Of Students
19,0,2,0,30,1,10,0.067,1.727,1,Verbal Or Physical Altercation Between Students Or Group Of Students
8,0,4,0,10,0,9,0.4,0.8,1,Verbal Or Physical Altercation Between Students Or Group Of Students
18,0,0,2,25,1,15,0.0,1.125,1,Verbal Or Physical Altercation Between Students Or Group Of Students
16,4,3,2,7,0,10,1.571,1.455,1,Verbal Or Physical Altercation Between Students Or Group Of Students
20,3,2,2,14,0,0,0.571,20.0,0,Verbal Or Physical Altercation Between Students Or Group Of Students
9,3,4,2,4,1,1,2.5,4.5,1,Verbal Or Physical Altercation Between Students Or Group Of Students
15,1,2,2,10,1,7,0.4,1.875,1,Verbal Or Physical Altercation Between Students Or Group Of Students
20,4,4,0,15,1,3,0.8,5.0,1,Verbal Or Physical Altercation Between Students Or Group Of Students
11,0,3,1,3,1,13,1.0,0.786,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
9,3,5,1,7,1,2,1.571,3.0,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
5,2,6,2,16,1,6,0.625,0.714,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
2,0,7,1,25,1,14,0.28,0.133,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
18,2,3,0,25,1,10,0.28,1.636,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
1,5,3,2,19,1,1,0.684,0.5,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
4,0,0,0,13,0,13,0.0,0.286,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
7,0,4,0,8,0,8,0.5,0.778,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
5,5,4,2,30,0,0,0.467,5.0,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
8,3,6,1,17,1,6,0.706,1.143,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
3,1,4,2,12,1,7,0.5,0.375,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
1,3,1,2,8,1,14,0.875,0.067,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
16,5,2,1,10,1,13,1.2,1.143,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
20,3,4,2,3,1,3,3.333,5.0,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
5,3,5,1,26,1,7,0.423,0.625,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
14,0,2,0,30,1,12,0.067,1.077,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
12,4,7,1,17,1,2,0.882,4.0,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
8,3,6,2,12,0,4,1.0,1.6,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
12,4,7,0,28,0,6,0.536,1.714,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
16,5,2,0,10,1,1,1.2,8.0,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
20,3,1,2,18,0,9,0.389,2.0,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
6,2,2,0,7,1,5,0.857,1.0,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
19,2,2,1,4,1,4,1.5,3.8,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
13,1,0,2,25,1,3,0.08,3.25,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
11,3,2,0,23,1,2,0.348,3.667,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
11,4,1,0,26,1,9,0.346,1.1,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
15,1,7,0,23,1,0,0.391,15.0,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
12,4,8,1,22,1,10,0.727,1.091,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
16,3,3,2,14,1,4,0.643,3.2,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
11,3,0,0,7,1,7,0.857,1.375,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
6,0,7,1,13,1,6,0.538,0.857,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
5,5,7,1,26,1,2,0.654,1.667,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
15,2,1,2,29,1,12,0.172,1.154,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
6,1,8,0,27,1,8,0.37,0.667,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
10,5,8,1,28,0,9,0.643,1.0,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
3,2,8,0,28,0,14,0.429,0.2,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
5,2,4,1,16,1,13,0.5,0.357,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
1,0,5,2,9,1,11,0.556,0.083,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
7,3,1,1,5,1,13,1.4,0.5,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
15,5,4,0,10,1,15,1.4,0.938,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
16,5,6,0,10,0,1,1.6,8.0,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
12,4,0,2,23,1,11,0.348,1.0,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
4,3,4,0,6,0,3,1.667,1.0,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
3,3,2,0,30,0,12,0.267,0.231,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
18,0,3,2,18,1,6,0.167,2.571,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
12,0,2,1,9,0,0,0.222,12.0,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
3,5,2,2,20,1,6,0.6,0.429,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
3,5,2,0,6,1,7,2.0,0.375,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
2,4,5,2,6,0,5,2.167,0.333,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
3,1,2,2,15,1,11,0.267,0.25,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
17,0,7,0,29,0,3,0.241,4.25,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
2,3,4,1,17,1,11,0.588,0.167,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
1,5,7,0,25,1,13,0.68,0.071,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
13,5,4,2,3,0,2,4.667,4.333,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
4,1,2,2,7,0,12,0.571,0.308,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
3,2,8,1,23,0,10,0.522,0.273,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
17,4,1,1,15,1,10,0.6,1.545,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
10,4,6,2,28,0,0,0.5,10.0,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
20,0,0,2,11,0,1,0.0,10.0,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
12,0,5,0,26,0,5,0.192,2.0,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
19,0,8,1,22,0,10,0.364,1.727,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
9,3,1,1,8,0,11,0.875,0.75,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
7,1,7,2,16,1,12,0.562,0.538,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
1,5,0,0,21,1,11,0.476,0.083,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
7,3,6,2,25,1,10,0.48,0.636,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
17,4,7,2,10,1,6,1.5,2.429,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
6,4,1,0,16,0,0,0.562,6.0,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
8,0,3,2,5,1,14,0.6,0.533,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
10,4,2,1,24,0,3,0.417,2.5,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
12,5,6,0,30,0,5,0.533,2.0,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
20,0,7,2,28,1,14,0.25,1.333,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
13,4,6,0,14,1,2,1.0,4.333,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
1,5,5,0,15,0,0,1.0,1.0,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
12,1,7,0,16,0,2,0.562,4.0,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
1,4,0,2,24,1,2,0.333,0.333,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
5,2,1,0,18,0,8,0.278,0.556,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
14,0,8,0,23,1,14,0.348,0.933,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
2,3,5,1,7,1,13,1.571,0.143,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
11,4,6,2,29,1,7,0.483,1.375,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
17,2,6,1,23,1,4,0.435,3.4,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
6,0,1,0,4,1,5,0.25,1.0,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
9,1,0,1,6,1,3,0.333,2.25,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
9,1,1,1,17,1,4,0.176,1.8,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
10,2,7,1,7,1,14,1.571,0.667,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
18,1,3,0,12,1,14,0.417,1.2,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
7,3,8,2,4,1,10,3.5,0.636,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
8,2,7,0,28,0,11,0.393,0.667,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
16,0,6,2,19,1,13,0.316,1.143,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
9,1,2,2,3,1,15,1.333,0.562,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
9,0,0,1,10,1,6,0.0,1.286,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
1,1,1,2,9,0,9,0.333,0.1,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
4,1,7,2,6,0,4,1.5,0.8,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
6,5,0,1,11,1,4,0.909,1.2,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
8,0,2,1,14,1,6,0.143,1.143,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
8,1,7,0,29,1,3,0.31,2.0,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
14,2,6,2,14,1,5,0.714,2.333,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
6,5,7,0,10,1,0,1.7,6.0,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
8,5,1,1,26,1,13,0.423,0.571,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
9,3,4,1,27,0,6,0.37,1.286,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
2,4,5,1,18,1,12,0.722,0.154,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
16,2,5,1,12,1,10,0.75,1.455,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
13,3,3,1,10,1,13,0.9,0.929,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
14,4,5,0,4,0,4,3.25,2.8,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
17,5,8,2,10,0,12,1.8,1.308,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
18,4,8,2,6,1,15,2.667,1.125,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
9,5,3,0,18,1,7,0.722,1.125,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
9,1,8,1,6,1,1,1.667,4.5,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
1,1,3,2,8,0,4,0.625,0.2,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
7,1,2,1,9,0,14,0.444,0.467,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
10,2,3,0,24,1,14,0.292,0.667,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
19,2,4,2,4,0,9,2.0,1.9,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
20,0,4,2,23,0,7,0.174,2.5,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
18,0,2,0,8,1,11,0.25,1.5,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
16,5,2,0,6,0,8,2.0,1.778,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
16,5,0,1,10,0,12,1.0,1.231,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
2,2,3,0,20,0,7,0.35,0.25,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
5,3,6,1,26,0,6,0.462,0.714,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
4,1,6,2,16,1,12,0.5,0.308,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
19,5,8,1,16,1,12,1.125,1.462,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
11,5,5,0,18,1,13,0.833,0.786,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
11,4,4,2,7,0,2,1.714,3.667,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
19,1,1,0,6,0,15,0.5,1.188,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
1,0,6,1,14,0,10,0.429,0.091,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
14,5,4,2,30,0,12,0.467,1.077,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
19,0,7,2,22,1,2,0.318,6.333,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
17,5,2,1,24,0,9,0.5,1.7,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
19,2,7,1,7,1,7,1.571,2.375,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
17,3,0,0,11,1,0,0.545,17.0,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
2,1,7,1,11,1,7,0.818,0.25,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
18,3,4,1,22,0,7,0.455,2.25,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
20,0,4,1,8,0,10,0.5,1.818,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
13,0,7,0,21,0,5,0.333,2.167,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
11,0,1,2,15,1,8,0.067,1.222,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
19,1,0,1,23,1,5,0.087,3.167,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
19,1,0,0,21,0,5,0.095,3.167,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
17,1,1,2,27,1,8,0.111,1.889,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
3,2,8,2,22,1,14,0.545,0.2,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
7,2,6,2,5,1,11,2.0,0.583,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
16,2,0,2,22,1,3,0.182,4.0,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
7,3,0,1,7,1,12,0.857,0.538,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
18,1,8,2,20,0,12,0.5,1.385,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
1,2,4,0,6,0,8,1.333,0.111,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
18,5,2,0,11,0,1,1.091,9.0,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
7,4,6,1,23,1,1,0.609,3.5,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
7,2,2,2,24,1,3,0.25,1.75,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
15,4,2,2,3,1,8,3.333,1.667,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
4,1,3,1,21,1,10,0.238,0.364,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
19,4,3,0,18,1,4,0.611,3.8,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
10,4,7,1,16,1,0,0.938,10.0,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
1,4,3,1,19,1,0,0.579,1.0,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
19,2,5,0,8,0,6,1.125,2.714,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
7,1,0,2,15,1,15,0.133,0.438,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
20,2,5,2,14,1,0,0.643,20.0,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
11,4,5,1,8,1,2,1.625,3.667,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
12,0,3,2,15,0,11,0.2,1.0,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
1,4,1,2,9,1,7,1.0,0.125,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
15,4,8,0,26,0,1,0.615,7.5,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
12,1,2,1,27,0,9,0.148,1.2,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
15,4,3,0,19,1,9,0.579,1.5,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
4,2,6,2,10,1,11,1.0,0.333,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
12,5,6,0,10,1,8,1.6,1.333,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
1,0,1,0,10,0,5,0.1,0.167,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
10,3,8,0,3,1,0,4.667,10.0,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
13,1,8,0,8,0,0,1.25,13.0,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
13,3,7,0,30,0,15,0.433,0.812,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
2,2,3,2,13,1,3,0.538,0.5,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
15,4,1,2,25,0,12,0.36,1.154,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
11,5,5,0,9,1,14,1.667,0.733,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
10,5,5,0,19,0,10,0.789,0.909,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
6,3,4,1,30,1,3,0.333,1.5,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
9,3,4,1,20,1,6,0.5,1.286,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
12,5,0,2,15,1,10,0.667,1.091,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
6,0,2,0,10,1,13,0.2,0.429,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
14,5,2,2,4,0,14,3.0,0.933,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
14,0,8,0,26,0,4,0.308,2.8,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
17,1,3,1,11,1,1,0.455,8.5,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
4,2,3,2,30,0,5,0.233,0.667,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
12,5,6,1,22,0,4,0.727,2.4,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
8,2,2,0,5,1,1,1.2,4.0,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
10,4,7,1,11,0,8,1.364,1.111,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
4,3,8,2,29,1,12,0.483,0.308,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
11,0,3,1,26,0,5,0.115,1.833,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
4,1,8,2,28,0,10,0.357,0.364,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
17,5,2,2,24,0,12,0.5,1.308,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
18,1,3,0,9,1,13,0.556,1.286,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
8,5,7,2,11,1,10,1.545,0.727,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
12,0,0,0,28,1,3,0.0,3.0,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
12,5,6,1,3,1,7,5.333,1.5,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
11,0,5,1,8,1,0,0.625,11.0,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
6,1,3,0,20,1,2,0.25,2.0,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
17,1,0,0,16,0,6,0.125,2.429,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
17,2,4,2,18,0,4,0.444,3.4,1,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
8,5,1,2,22,1,3,0.5,2.0,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
8,2,1,0,26,0,2,0.192,2.667,0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
