student_id,frequency,repeated_major_count,repeated_minor_count,ongoing_incident_count,total_incidents,avg_severity,is_major,no_violation_count,behavior_ratio,most_repeated_violation,will_reoffend_same_violation
S07235,7,4,3,2,10,0.61,1,38,0.125,Vandalism,1
S07236,7,6,1,1,9,0.64,1,35,0.112,Engaging in gambling,1
S07237,5,2,3,0,8,0.82,1,27,0.238,Bullying,0
S07238,6,4,2,0,10,0.79,1,10,0.236,Bullying,0
S07239,5,3,2,0,6,0.95,1,11,0.211,Smoking/Vaping,1
S07240,6,4,2,0,8,0.68,1,6,0.186,Bullying,1
S07241,8,5,3,1,11,0.66,1,5,0.058,Engaging in immoral conduct,1
S07242,8,5,3,3,13,0.74,1,10,0.315,Engaging in immoral conduct,1
S07243,5,2,3,2,9,0.75,1,21,0.245,Cheating in examinations,1
S07244,6,5,1,2,13,0.7,1,9,0.211,Engaging in gambling,1
S07245,4,1,3,0,5,0.35,0,20,0.503,Littering the campus,0
S07246,3,2,1,3,8,0.68,1,29,0.293,Membership in fraternities,1
S07247,7,5,2,0,12,0.9,1,5,0.09,Forgery,1
S07248,4,3,1,0,9,0.88,1,20,0.291,Engaging in immoral conduct,1
S07249,8,6,2,0,11,0.91,1,23,0.054,Engaging in gambling,0
S07250,5,2,3,0,7,0.12,0,193,0.771,Unexcused tardiness/absence from class,0
S07251,5,2,3,2,8,0.96,1,38,0.026,Forgery,0
S07252,4,4,0,0,9,0.92,1,35,0.206,Extortion,1
S07253,6,6,0,2,10,0.91,1,33,0.005,Bullying,0
S07254,6,5,1,2,12,0.71,1,38,0.209,Smoking/Vaping,1
S07255,7,5,2,1,12,0.77,1,38,0.12,Vandalism,1
S07256,5,3,2,3,11,0.61,1,40,0.034,Smoking/Vaping,1
S07257,4,1,3,0,8,0.19,0,183,0.773,Wearing inappropriate/incomplete uniform,0
S07258,2,1,1,0,3,0.98,1,16,0.309,Extortion,0
S07259,5,4,1,1,11,0.73,1,33,0.128,Engaging in gambling,1
S07260,5,1,4,1,11,0.43,0,85,0.734,Use of foul language,0
S07261,6,6,0,0,7,0.61,1,25,0.052,Gross disrespect to authority,1
S07262,2,1,1,3,7,0.71,1,1,0.091,Engaging in gambling,1
S07263,5,5,0,1,8,0.84,1,33,0.347,Smoking/Vaping,1
S07264,4,1,3,2,7,0.93,1,5,0.163,Stealing property,1
S07265,5,4,1,3,11,0.89,1,1,0.089,Smoking/Vaping,1
S07266,5,2,3,1,7,0.46,0,42,0.726,Use of foul language,0
S07267,6,6,0,0,9,0.93,1,30,0.297,Cheating in examinations,1
S07268,5,2,3,1,11,0.69,1,6,0.058,Extortion,1
S07269,5,5,0,0,7,0.93,1,35,0.123,Forgery,0
S07270,3,2,1,0,4,0.43,0,148,0.688,Wearing inappropriate/incomplete uniform,0
S07271,3,2,1,0,8,0.29,0,56,0.667,Unexcused tardiness/absence from class,0
S07272,3,2,1,1,9,0.24,0,104,0.638,Public display of affection,0
S07273,6,3,3,3,12,0.91,1,5,0.336,Forgery,1
S07274,7,5,2,0,10,0.84,1,31,0.322,Bullying,1
S07275,8,6,2,2,15,0.94,1,36,0.169,Forgery,1
S07276,3,3,0,0,5,0.94,1,26,0.294,Engaging in immoral conduct,1
S07277,2,1,1,2,5,0.82,1,2,0.072,Vandalism,1
S07278,3,3,0,1,9,0.81,1,21,0.137,Bullying,1
S07279,4,1,3,3,11,0.95,1,24,0.134,Cheating in examinations,0
S07280,6,4,2,0,8,0.83,1,37,0.007,Vandalism,0
S07281,7,6,1,3,12,0.63,1,34,0.148,Extortion,1
S07282,3,2,1,3,7,0.96,1,6,0.087,Vandalism,1
S07283,3,2,1,0,6,0.61,1,22,0.19,Extortion,1
S07284,6,5,1,1,8,0.97,1,5,0.286,Forgery,0
S07285,2,0,2,0,5,0.1,0,195,0.508,Public display of affection,0
S07286,4,2,2,3,12,0.63,1,5,0.284,Extortion,1
S07287,3,2,1,3,11,0.72,1,10,0.321,Engaging in gambling,1
S07288,1,1,0,1,5,0.97,1,15,0.206,Gross disrespect to authority,1
S07289,3,0,3,1,8,0.38,0,28,0.771,Unexcused tardiness/absence from class,0
S07290,5,2,3,3,12,0.99,1,7,0.047,Smoking/Vaping,0
S07291,1,1,0,1,5,0.73,1,8,0.333,Vandalism,1
S07292,0,0,0,0,1,0.19,0,176,0.486,Public display of affection,0
S07293,1,1,0,2,6,0.37,0,144,0.644,Unexcused tardiness/absence from class,0
S07294,6,3,3,2,12,0.69,1,30,0.019,Forgery,1
S07295,8,5,3,3,16,0.7,1,29,0.007,Bullying,1
S07296,5,1,4,2,12,0.25,0,197,0.542,Littering the campus,1
S07297,2,1,1,2,8,0.25,0,125,0.638,Unexcused tardiness/absence from class,1
S07298,1,1,0,1,3,0.26,0,61,0.769,Wearing inappropriate/incomplete uniform,0
S07299,8,6,2,3,15,0.85,1,15,0.086,Extortion,1
S07300,6,4,2,3,13,0.89,1,8,0.217,Gross disrespect to authority,0
S07301,3,1,2,3,8,0.83,1,7,0.044,Bullying,1
S07302,3,3,0,1,6,0.95,1,2,0.201,Bullying,1
S07303,1,0,1,0,3,0.29,0,155,0.636,Wearing inappropriate/incomplete uniform,0
S07304,5,2,3,3,12,0.61,1,8,0.254,Smoking/Vaping,1
S07305,4,2,2,1,6,0.6,1,37,0.197,Bullying,1
S07306,3,2,1,2,10,0.43,0,130,0.546,Use of foul language,0
S07307,7,6,1,0,10,0.72,1,2,0.319,Stealing property,1
S07308,7,6,1,1,10,0.62,1,28,0.243,Smoking/Vaping,1
S07309,8,5,3,2,11,0.81,1,28,0.089,Engaging in immoral conduct,0
S07310,6,5,1,0,11,0.72,1,7,0.136,Vandalism,1
S07311,1,1,0,0,4,0.11,0,64,0.442,Public display of affection,0
S07312,0,0,0,0,1,0.49,0,163,0.622,Unexcused tardiness/absence from class,0
S07313,6,4,2,2,12,0.96,1,6,0.336,Stealing property,1
S07314,7,6,1,3,13,0.75,1,1,0.291,Smoking/Vaping,1
S07315,5,4,1,0,10,0.92,1,5,0.042,Membership in fraternities,1
S07316,4,4,0,0,6,0.8,1,29,0.318,Engaging in immoral conduct,0
S07317,5,3,2,3,9,0.93,1,34,0.088,Membership in fraternities,1
S07318,4,3,1,0,5,0.62,1,15,0.095,Smoking/Vaping,1
S07319,5,1,4,1,10,0.18,0,150,0.787,Use of foul language,0
S07320,7,4,3,3,13,0.63,1,37,0.158,Vandalism,1
S07321,8,5,3,3,13,0.62,1,5,0.213,Vandalism,0
S07322,7,5,2,3,11,0.72,1,28,0.142,Engaging in gambling,1
S07323,4,2,2,2,10,0.62,1,39,0.002,Forgery,1
S07324,6,6,0,1,8,0.85,1,17,0.116,Engaging in gambling,1
S07325,8,6,2,3,15,0.84,1,5,0.154,Vandalism,0
S07326,3,1,2,0,6,0.35,0,28,0.618,Public display of affection,1
S07327,8,5,3,3,15,0.79,1,34,0.193,Stealing property,1
S07328,5,4,1,2,8,0.85,1,39,0.287,Bullying,0
S07329,1,0,1,2,6,0.27,0,90,0.783,Use of foul language,0
S07330,1,1,0,0,2,0.35,0,63,0.695,Public display of affection,0
S07331,8,5,3,0,10,0.79,1,29,0.217,Engaging in gambling,1
S07332,5,1,4,1,7,0.49,0,31,0.596,Littering the campus,0
S07333,2,0,2,0,7,0.29,0,116,0.461,Unexcused tardiness/absence from class,0
S07334,5,3,2,0,10,0.82,1,8,0.237,Engaging in gambling,1
S07335,7,4,3,1,11,0.66,1,4,0.004,Engaging in immoral conduct,1
S07336,5,2,3,3,12,0.95,1,15,0.001,Cheating in examinations,0
S07337,4,2,2,0,6,0.49,0,109,0.7,Littering the campus,0
S07338,3,2,1,1,6,0.62,1,39,0.214,Engaging in immoral conduct,1
S07339,5,2,3,2,8,0.72,1,35,0.155,Bullying,1
S07340,2,2,0,0,4,0.85,1,11,0.018,Cheating in examinations,1
S07341,1,0,1,2,8,0.11,0,123,0.751,Public display of affection,0
S07342,4,2,2,3,12,0.97,1,3,0.209,Smoking/Vaping,1
S07343,4,1,3,3,9,0.9,1,29,0.293,Stealing property,1
S07344,4,2,2,0,7,0.7,1,27,0.211,Extortion,1
S07345,3,1,2,0,5,0.37,0,21,0.552,Use of foul language,0
S07346,9,6,3,3,17,0.8,1,40,0.249,Vandalism,1
S07347,5,3,2,2,12,0.99,1,7,0.096,Vandalism,1
S07348,1,1,0,0,3,0.92,1,40,0.209,Membership in fraternities,1
S07349,2,2,0,2,7,0.39,0,139,0.709,Littering the campus,0
S07350,5,1,4,0,9,0.41,0,172,0.763,Wearing inappropriate/incomplete uniform,1
S07351,1,1,0,1,3,0.68,1,0,0.228,Extortion,0
S07352,3,1,2,0,7,0.84,1,15,0.018,Engaging in gambling,1
S07353,7,4,3,2,12,0.82,1,20,0.309,Extortion,1
S07354,5,5,0,1,11,0.65,1,28,0.109,Forgery,0
S07355,1,1,0,1,5,0.14,0,33,0.639,Use of foul language,0
S07356,3,1,2,3,7,0.95,1,38,0.228,Engaging in immoral conduct,1
S07357,4,3,1,3,12,0.93,1,6,0.245,Smoking/Vaping,1
S07358,7,6,1,3,11,0.99,1,24,0.103,Engaging in gambling,0
S07359,6,4,2,1,12,0.65,1,8,0.275,Extortion,1
S07360,6,3,3,0,11,0.82,1,6,0.235,Smoking/Vaping,1
S07361,4,3,1,2,9,0.75,1,5,0.136,Engaging in immoral conduct,1
S07362,7,5,2,2,11,0.71,1,40,0.197,Engaging in gambling,1
S07363,4,1,3,2,11,0.98,1,10,0.253,Engaging in gambling,1
S07364,0,0,0,2,5,0.35,0,21,0.414,Use of foul language,0
S07365,8,6,2,3,14,0.72,1,38,0.024,Stealing property,1
S07366,8,6,2,1,12,0.63,1,15,0.001,Engaging in gambling,1
S07367,7,5,2,2,10,0.99,1,18,0.143,Vandalism,1
S07368,0,0,0,0,3,0.35,0,191,0.542,Wearing inappropriate/incomplete uniform,0
S07369,5,5,0,0,6,0.99,1,7,0.065,Engaging in gambling,1
S07370,2,1,1,2,8,0.85,1,40,0.119,Gross disrespect to authority,1
S07371,1,1,0,0,5,0.27,0,60,0.523,Littering the campus,0
S07372,4,0,4,0,6,0.39,0,110,0.677,Unexcused tardiness/absence from class,0
S07373,6,4,2,1,12,0.96,1,8,0.337,Engaging in gambling,0
S07374,2,1,1,0,4,0.31,0,148,0.696,Public display of affection,1
S07375,1,1,0,1,4,0.74,1,33,0.267,Stealing property,0
S07376,4,1,3,1,8,0.36,0,54,0.721,Use of foul language,0
S07377,0,0,0,0,1,0.33,0,70,0.714,Unexcused tardiness/absence from class,0
S07378,6,5,1,0,7,0.79,1,20,0.081,Extortion,1
S07379,5,2,3,1,11,0.22,0,137,0.79,Littering the campus,1
S07380,3,2,1,2,9,0.68,1,12,0.136,Vandalism,1
S07381,4,2,2,3,9,0.74,1,33,0.214,Engaging in immoral conduct,0
S07382,1,1,0,1,6,0.5,0,123,0.775,Unexcused tardiness/absence from class,0
S07383,5,3,2,2,9,0.78,1,6,0.242,Cheating in examinations,1
S07384,2,1,1,0,3,0.89,1,38,0.147,Engaging in immoral conduct,1
S07385,1,1,0,0,4,0.97,1,5,0.048,Extortion,1
S07386,3,1,2,1,9,0.84,1,15,0.257,Cheating in examinations,1
S07387,4,1,3,2,9,0.31,0,70,0.529,Littering the campus,1
S07388,9,6,3,3,13,0.73,1,40,0.245,Forgery,1
S07389,7,5,2,2,10,0.72,1,10,0.109,Cheating in examinations,1
S07390,4,2,2,0,9,0.25,0,41,0.451,Use of foul language,0
S07391,7,6,1,0,11,0.99,1,1,0.131,Engaging in immoral conduct,1
S07392,2,0,2,0,4,0.29,0,184,0.405,Unexcused tardiness/absence from class,1
S07393,4,1,3,2,7,0.3,0,187,0.55,Unexcused tardiness/absence from class,0
S07394,4,3,1,0,9,0.85,1,19,0.235,Stealing property,1
S07395,2,1,1,2,7,0.63,1,7,0.156,Engaging in immoral conduct,1
S07396,3,3,0,3,7,0.82,1,29,0.186,Bullying,0
S07397,5,3,2,1,9,0.7,1,29,0.189,Forgery,0
S07398,4,0,4,2,8,0.13,0,32,0.727,Wearing inappropriate/incomplete uniform,0
S07399,6,2,4,2,12,0.13,0,166,0.58,Public display of affection,0
S07400,4,1,3,2,10,0.63,1,14,0.114,Engaging in gambling,0
S07401,2,2,0,2,7,0.6,1,8,0.011,Membership in fraternities,1
S07402,3,1,2,1,6,0.41,0,50,0.506,Littering the campus,0
S07403,5,2,3,2,12,0.66,1,6,0.143,Smoking/Vaping,1
S07404,4,2,2,0,8,0.9,1,34,0.302,Engaging in gambling,1
S07405,3,3,0,3,9,0.63,1,32,0.044,Engaging in gambling,0
S07406,4,2,2,1,9,0.14,0,104,0.584,Wearing inappropriate/incomplete uniform,0
S07407,2,0,2,1,8,0.11,0,165,0.591,Wearing inappropriate/incomplete uniform,0
S07408,4,2,2,1,8,0.28,0,184,0.695,Public display of affection,0
S07409,7,5,2,0,9,0.96,1,24,0.015,Gross disrespect to authority,0
S07410,0,0,0,0,4,0.11,0,32,0.727,Use of foul language,0
S07411,3,3,0,1,6,0.65,1,8,0.132,Gross disrespect to authority,0
S07412,7,5,2,3,11,0.84,1,31,0.179,Engaging in immoral conduct,1
S07413,3,1,2,0,5,0.77,1,2,0.303,Gross disrespect to authority,1
S07414,3,2,1,0,7,0.4,0,187,0.41,Use of foul language,0
S07415,2,2,0,1,7,0.85,1,25,0.286,Extortion,1
S07416,0,0,0,1,6,0.11,0,32,0.494,Use of foul language,0
S07417,6,5,1,2,10,0.64,1,30,0.291,Gross disrespect to authority,1
S07418,6,3,3,3,12,0.98,1,24,0.309,Cheating in examinations,1
S07419,6,2,4,2,10,0.34,0,62,0.412,Wearing inappropriate/incomplete uniform,0
S07420,7,4,3,1,11,0.68,1,21,0.201,Cheating in examinations,1
S07421,5,1,4,1,10,0.12,0,134,0.754,Public display of affection,1
S07422,4,0,4,0,8,0.42,0,164,0.578,Use of foul language,0
S07423,2,2,0,1,4,0.98,1,21,0.174,Engaging in gambling,1
S07424,1,1,0,3,9,0.92,1,1,0.146,Bullying,1
S07425,5,3,2,3,11,0.65,1,35,0.166,Engaging in gambling,1
S07426,1,0,1,0,6,0.31,0,27,0.404,Use of foul language,0
S07427,4,1,3,0,8,0.17,0,45,0.63,Littering the campus,0
S07428,4,2,2,2,8,0.17,0,149,0.766,Use of foul language,0
S07429,8,6,2,1,10,0.71,1,28,0.303,Forgery,1
S07430,9,6,3,1,11,0.86,1,22,0.212,Gross disrespect to authority,1
S07431,6,2,4,0,11,0.17,0,67,0.655,Public display of affection,0
S07432,2,1,1,2,7,0.73,1,11,0.001,Gross disrespect to authority,0
S07433,7,4,3,1,11,0.69,1,1,0.072,Bullying,1
S07434,2,0,2,1,7,0.35,0,45,0.445,Unexcused tardiness/absence from class,0
S07435,4,4,0,2,10,0.62,1,23,0.137,Smoking/Vaping,1
S07436,5,2,3,1,11,0.93,1,35,0.094,Cheating in examinations,1
S07437,5,1,4,2,12,0.15,0,175,0.671,Littering the campus,0
S07438,6,4,2,0,7,0.82,1,37,0.203,Stealing property,0
S07439,8,5,3,3,14,0.89,1,5,0.053,Vandalism,0
S07440,4,1,3,1,10,0.72,1,35,0.165,Gross disrespect to authority,1
S07441,9,6,3,3,15,0.92,1,36,0.255,Vandalism,0
S07442,5,1,4,1,9,0.49,0,58,0.675,Littering the campus,0
S07443,6,5,1,2,10,0.79,1,32,0.125,Smoking/Vaping,0
S07444,6,3,3,3,14,0.83,1,20,0.109,Forgery,1
S07445,8,5,3,2,12,0.85,1,15,0.042,Vandalism,1
S07446,4,3,1,0,9,0.84,1,23,0.216,Bullying,0
S07447,0,0,0,0,4,0.2,0,111,0.527,Littering the campus,1
S07448,0,0,0,2,4,0.37,0,79,0.769,Public display of affection,0
S07449,1,1,0,1,7,0.18,0,24,0.578,Wearing inappropriate/incomplete uniform,0
S07450,9,6,3,2,16,0.84,1,12,0.222,Cheating in examinations,1
S07451,7,4,3,2,11,0.84,1,6,0.17,Stealing property,1
S07452,8,5,3,3,16,0.63,1,12,0.31,Cheating in examinations,1
S07453,8,5,3,3,16,0.65,1,34,0.294,Smoking/Vaping,0
S07454,6,4,2,3,12,0.84,1,15,0.333,Engaging in gambling,0
S07455,0,0,0,2,4,0.11,0,107,0.725,Use of foul language,1
S07456,2,1,1,2,6,0.96,1,28,0.312,Engaging in gambling,1
S07457,4,3,1,3,12,0.91,1,33,0.081,Forgery,1
S07458,1,1,0,0,5,0.65,1,17,0.128,Engaging in gambling,1
S07459,3,1,2,2,9,0.93,1,18,0.328,Extortion,1
S07460,5,4,1,0,6,0.73,1,31,0.214,Gross disrespect to authority,1
S07461,5,2,3,1,10,0.84,1,17,0.331,Engaging in gambling,1
S07462,4,2,2,1,10,0.8,1,0,0.11,Gross disrespect to authority,0
S07463,6,6,0,0,9,0.83,1,39,0.229,Membership in fraternities,1
S07464,1,1,0,2,4,0.66,1,18,0.144,Membership in fraternities,1
S07465,2,2,0,1,4,0.97,1,37,0.166,Stealing property,1
S07466,2,2,0,1,8,0.94,1,19,0.117,Engaging in gambling,1
S07467,6,6,0,1,8,0.92,1,27,0.017,Extortion,1
S07468,7,4,3,2,14,0.9,1,24,0.117,Bullying,1
S07469,2,2,0,3,6,0.85,1,9,0.319,Membership in fraternities,1
S07470,5,4,1,1,7,0.8,1,32,0.005,Engaging in gambling,1
S07471,2,1,1,0,6,0.48,0,176,0.673,Public display of affection,0
S07472,1,0,1,1,5,0.19,0,67,0.534,Wearing inappropriate/incomplete uniform,0
S07473,4,4,0,1,7,0.89,1,24,0.184,Vandalism,1
S07474,4,1,3,1,6,0.63,1,23,0.235,Membership in fraternities,0
S07475,4,4,0,2,11,0.85,1,17,0.323,Bullying,1
S07476,5,5,0,2,12,0.91,1,33,0.319,Smoking/Vaping,1
S07477,5,1,4,1,10,0.39,0,80,0.712,Unexcused tardiness/absence from class,1
S07478,7,5,2,1,10,0.86,1,28,0.113,Membership in fraternities,1
S07479,7,5,2,3,13,0.75,1,38,0.194,Extortion,1
S07480,5,5,0,3,10,0.64,1,14,0.078,Membership in fraternities,0
S07481,3,2,1,1,9,0.2,0,163,0.742,Unexcused tardiness/absence from class,0
S07482,4,3,1,1,8,0.6,1,10,0.137,Stealing property,1
S07483,0,0,0,1,6,0.2,0,56,0.455,Wearing inappropriate/incomplete uniform,0
S07484,1,1,0,3,8,0.93,1,15,0.289,Smoking/Vaping,1
S07485,2,1,1,0,6,0.76,1,25,0.153,Engaging in gambling,1
S07486,6,2,4,0,11,0.45,0,53,0.795,Unexcused tardiness/absence from class,0
S07487,4,2,2,3,10,0.79,1,1,0.238,Bullying,0
S07488,6,4,2,3,12,0.71,1,24,0.263,Vandalism,0
S07489,6,4,2,0,11,0.85,1,35,0.328,Membership in fraternities,0
S07490,2,2,0,1,7,0.46,0,135,0.586,Public display of affection,0
S07491,6,6,0,2,12,0.81,1,28,0.259,Engaging in gambling,1
S07492,1,1,0,2,7,0.91,1,36,0.114,Membership in fraternities,0
S07493,7,4,3,1,11,0.71,1,22,0.303,Forgery,1
S07494,6,3,3,3,14,0.8,1,5,0.161,Bullying,0
S07495,3,3,0,3,9,0.8,1,35,0.04,Bullying,1
S07496,6,5,1,3,10,0.78,1,10,0.13,Engaging in immoral conduct,1
S07497,7,6,1,0,10,0.95,1,10,0.018,Forgery,1
S07498,7,5,2,0,11,0.91,1,34,0.327,Extortion,1
S07499,3,2,1,1,8,0.16,0,198,0.513,Wearing inappropriate/incomplete uniform,1
S07500,2,1,1,2,7,0.41,0,155,0.697,Wearing inappropriate/incomplete uniform,0
S07501,5,2,3,0,9,0.29,0,111,0.49,Wearing inappropriate/incomplete uniform,0
S07502,7,4,3,3,14,1.0,1,11,0.062,Cheating in examinations,1
S07503,4,0,4,1,7,0.31,0,84,0.642,Use of foul language,0
S07504,0,0,0,0,2,0.34,0,96,0.597,Unexcused tardiness/absence from class,1
S07505,5,4,1,1,7,0.99,1,31,0.337,Engaging in immoral conduct,1
S07506,5,3,2,2,12,0.94,1,34,0.086,Gross disrespect to authority,1
S07507,6,4,2,1,12,0.65,1,26,0.204,Engaging in immoral conduct,0
S07508,4,4,0,2,7,0.98,1,0,0.05,Engaging in immoral conduct,1
S07509,3,2,1,0,4,0.24,0,20,0.598,Public display of affection,0
S07510,8,6,2,0,13,0.64,1,1,0.087,Extortion,0
S07511,4,1,3,1,7,0.18,0,104,0.641,Use of foul language,0
S07512,5,1,4,1,8,0.47,0,46,0.681,Unexcused tardiness/absence from class,0
S07513,6,6,0,3,14,0.82,1,19,0.28,Forgery,0
S07514,5,5,0,2,11,0.86,1,12,0.312,Stealing property,1
S07515,4,2,2,2,9,0.98,1,33,0.262,Smoking/Vaping,1
S07516,2,1,1,0,5,0.96,1,25,0.159,Extortion,0
S07517,6,6,0,2,9,0.6,1,28,0.065,Gross disrespect to authority,1
S07518,6,6,0,0,7,0.92,1,37,0.001,Stealing property,1
S07519,7,4,3,0,11,0.7,1,8,0.147,Smoking/Vaping,1
S07520,5,4,1,2,8,0.74,1,24,0.286,Bullying,1
S07521,4,1,3,2,7,0.95,1,10,0.318,Engaging in immoral conduct,1
S07522,3,3,0,3,11,0.79,1,2,0.226,Cheating in examinations,1
S07523,7,6,1,3,15,0.71,1,13,0.037,Extortion,1
S07524,6,2,4,1,11,0.31,0,103,0.718,Use of foul language,0
S07525,8,5,3,1,11,0.97,1,23,0.273,Extortion,0
S07526,4,2,2,0,8,0.85,1,10,0.115,Extortion,1
S07527,3,1,2,2,8,0.24,0,191,0.438,Littering the campus,1
S07528,3,2,1,1,8,0.28,0,152,0.546,Wearing inappropriate/incomplete uniform,0
S07529,5,5,0,0,6,0.91,1,10,0.221,Stealing property,1
S07530,7,4,3,3,11,0.85,1,4,0.031,Cheating in examinations,1
S07531,5,1,4,1,8,0.33,0,115,0.55,Use of foul language,0
S07532,8,6,2,0,10,0.63,1,17,0.301,Vandalism,1
S07533,2,2,0,1,6,0.33,0,55,0.434,Use of foul language,0
S07534,2,1,1,2,9,0.43,0,176,0.691,Use of foul language,0
S07535,4,3,1,2,8,0.74,1,22,0.01,Membership in fraternities,1
S07536,7,4,3,1,11,0.84,1,1,0.274,Stealing property,1
S07537,7,4,3,3,14,0.75,1,30,0.152,Engaging in immoral conduct,1
S07538,6,4,2,0,8,0.62,1,32,0.122,Smoking/Vaping,1
S07539,6,3,3,0,11,0.85,1,29,0.296,Bullying,0
S07540,6,6,0,1,10,0.91,1,7,0.063,Gross disrespect to authority,1
S07541,7,4,3,1,9,0.77,1,11,0.268,Stealing property,0
S07542,9,6,3,2,12,0.86,1,30,0.164,Engaging in immoral conduct,1
S07543,4,2,2,2,7,0.49,0,112,0.65,Wearing inappropriate/incomplete uniform,0
S07544,3,2,1,0,7,0.44,0,83,0.661,Wearing inappropriate/incomplete uniform,0
S07545,1,1,0,1,7,0.17,0,33,0.637,Public display of affection,0
S07546,4,2,2,1,7,0.2,0,104,0.623,Littering the campus,0
S07547,2,0,2,2,8,0.4,0,102,0.514,Public display of affection,0
S07548,5,3,2,1,11,0.98,1,20,0.167,Gross disrespect to authority,0
S07549,1,0,1,2,6,0.26,0,105,0.766,Unexcused tardiness/absence from class,0
S07550,4,4,0,1,6,0.9,1,40,0.32,Vandalism,1
S07551,3,3,0,3,11,0.99,1,32,0.024,Smoking/Vaping,0
S07552,3,0,3,1,6,0.4,0,33,0.665,Public display of affection,1
S07553,9,6,3,2,13,0.86,1,8,0.116,Cheating in examinations,1
S07554,3,3,0,0,7,0.72,1,20,0.338,Engaging in immoral conduct,1
S07555,5,2,3,0,7,0.93,1,29,0.007,Stealing property,1
S07556,5,1,4,2,9,0.38,0,34,0.538,Wearing inappropriate/incomplete uniform,0
S07557,1,1,0,2,6,0.78,1,10,0.274,Vandalism,0
S07558,6,4,2,0,8,0.92,1,5,0.272,Stealing property,1
S07559,5,2,3,2,12,0.72,1,14,0.242,Stealing property,1
S07560,6,3,3,1,8,0.82,1,13,0.155,Cheating in examinations,1
S07561,7,6,1,1,10,0.73,1,13,0.324,Extortion,1
S07562,5,4,1,3,12,0.71,1,14,0.152,Vandalism,0
S07563,4,2,2,1,9,0.43,0,51,0.709,Public display of affection,0
S07564,4,2,2,2,11,0.17,0,49,0.492,Public display of affection,0
S07565,5,5,0,3,10,0.64,1,1,0.071,Membership in fraternities,1
S07566,6,5,1,3,13,0.92,1,18,0.341,Stealing property,1
S07567,2,2,0,2,6,0.99,1,16,0.036,Gross disrespect to authority,1
S07568,6,6,0,2,13,0.71,1,28,0.019,Forgery,1
S07569,1,1,0,1,7,0.41,0,103,0.798,Wearing inappropriate/incomplete uniform,0
S07570,3,1,2,2,10,0.15,0,165,0.543,Unexcused tardiness/absence from class,0
S07571,3,1,2,2,9,0.49,0,117,0.77,Public display of affection,0
S07572,0,0,0,0,3,0.4,0,106,0.648,Wearing inappropriate/incomplete uniform,0
S07573,3,1,2,2,10,0.72,1,21,0.013,Smoking/Vaping,0
S07574,4,2,2,2,10,0.68,1,33,0.274,Bullying,0
S07575,1,1,0,0,2,0.95,1,23,0.058,Cheating in examinations,1
S07576,4,2,2,1,9,0.97,1,0,0.285,Engaging in gambling,1
S07577,0,0,0,0,3,0.21,0,173,0.741,Unexcused tardiness/absence from class,0
S07578,0,0,0,1,3,0.11,0,184,0.533,Wearing inappropriate/incomplete uniform,0
S07579,6,2,4,2,13,0.24,0,122,0.631,Use of foul language,0
S07580,6,5,1,1,12,1.0,1,39,0.202,Stealing property,0
S07581,4,2,2,0,9,0.24,0,75,0.517,Public display of affection,0
S07582,4,1,3,0,7,0.46,0,155,0.543,Unexcused tardiness/absence from class,0
S07583,4,1,3,1,7,0.84,1,21,0.34,Engaging in immoral conduct,0
S07584,4,3,1,1,10,0.96,1,16,0.319,Bullying,0
S07585,8,5,3,2,12,0.85,1,38,0.231,Forgery,1
S07586,4,2,2,3,10,0.78,1,17,0.32,Gross disrespect to authority,1
S07587,2,2,0,1,8,0.46,0,123,0.495,Littering the campus,0
S07588,3,1,2,1,7,1.0,1,20,0.123,Membership in fraternities,1
S07589,5,4,1,0,7,0.89,1,26,0.21,Gross disrespect to authority,1
S07590,3,3,0,3,8,0.8,1,29,0.34,Smoking/Vaping,1
S07591,9,6,3,3,13,0.72,1,29,0.24,Membership in fraternities,1
S07592,2,2,0,3,7,0.6,1,2,0.227,Bullying,0
S07593,5,2,3,3,10,0.65,1,16,0.117,Membership in fraternities,1
S07594,5,2,3,1,8,0.2,0,35,0.604,Unexcused tardiness/absence from class,0
S07595,2,2,0,1,4,0.26,0,155,0.58,Unexcused tardiness/absence from class,0
S07596,6,2,4,1,9,0.29,0,153,0.692,Public display of affection,0
S07597,5,3,2,3,10,0.83,1,35,0.339,Engaging in gambling,1
S07598,6,5,1,0,7,0.62,1,11,0.153,Smoking/Vaping,1
S07599,9,6,3,3,15,0.94,1,21,0.037,Smoking/Vaping,0
S07600,4,3,1,1,6,0.92,1,0,0.164,Extortion,1
S07601,9,6,3,2,12,0.75,1,1,0.032,Cheating in examinations,0
S07602,4,2,2,2,7,0.36,0,20,0.632,Unexcused tardiness/absence from class,0
S07603,7,5,2,3,12,0.77,1,3,0.206,Membership in fraternities,0
S07604,0,0,0,0,5,0.16,0,144,0.486,Wearing inappropriate/incomplete uniform,0
S07605,4,1,3,1,7,0.74,1,38,0.089,Stealing property,1
S07606,4,3,1,3,8,0.83,1,35,0.231,Cheating in examinations,1
S07607,4,3,1,2,9,0.68,1,11,0.11,Stealing property,1
S07608,6,5,1,0,10,0.94,1,13,0.205,Stealing property,1
S07609,0,0,0,0,3,0.38,0,125,0.556,Wearing inappropriate/incomplete uniform,0
S07610,6,6,0,3,11,0.66,1,26,0.29,Engaging in gambling,1
S07611,8,6,2,1,10,0.76,1,21,0.06,Forgery,1
