student_id,most_repeated_violation,frequency,repeated_major_count,repeated_minor_count,ongoing_incident_count,total_incidents,is_major,avg_severity,will_reoffend_same_violation,no_violation_count,behavior_ratio
S01896,Students/fellow students - Verbally/Written,1,3,1,0,5,1,0.45,0,58,9.667
S01897,"Falsification of official documents, test papers, clearances and confidential",4,0,1,1,6,1,0.333,0,49,7.0
S01898,Conviction for a criminal offense by the administrator's judgment,6,3,0,0,9,1,0.55,1,37,3.7
S01899,Engaging in trouble outside the campus endangering the name of school,5,3,1,1,10,1,0.667,1,24,2.182
S01900,Placing of stickers and other objects on school ID,2,0,0,0,2,0,0.067,0,79,26.333
S01901,"Falsification of official documents, test papers, clearances and confidential",2,1,1,0,4,1,0.283,0,75,15.0
S01902,"Possession or use of deadly weapons, explosives, prohibited drugs",6,3,1,1,11,1,0.7,0,6,0.5
S01903,"Unauthorized enrichment or stealing whether attempted, frustrated, or consummated",3,1,1,1,6,1,0.4,1,64,9.143
S01904,Using another person's identity,6,1,0,1,8,1,0.433,0,34,3.778
S01905,Consistent violation of school rules and regulations,6,1,0,1,8,1,0.433,0,29,3.222
S01906,Leaving the classroom without permission during class hour and school activity,5,3,1,1,10,1,0.667,1,23,2.091
S01907,"Littering the campus (candy wrappers, bottles, plastic materials)",5,0,2,0,7,0,0.3,0,29,3.625
S01908,"Grave threat on any student, personnel or administrator",2,0,1,1,4,1,0.267,1,58,11.6
S01909,Real acts of threat (major/minor) that constitute incompatibility,5,3,0,0,8,1,0.517,1,19,2.111
S01910,"Wearing of ripped/distressed jeans, crop top, sleeveless, backless, off-shoulder, see-through blouses, spaghetti strap, tube top, body cone, mini skirt, open toe shoes",6,0,2,1,9,0,0.417,0,30,3.0
S01911,Unauthorized use of information,5,0,0,1,6,1,0.3,1,65,9.286
S01912,Gambling/betting in all forms,1,2,0,1,4,1,0.367,1,90,18.0
S01913,"Grave threat on any student, personnel or administrator",1,1,0,0,2,1,0.183,0,89,29.667
S01914,Conviction for a criminal offense by the administrator's judgment,5,0,0,0,5,1,0.217,1,60,10.0
S01915,Consistent violation of school rules and regulations,4,0,0,1,5,1,0.267,0,38,6.333
S01916,"Wearing of scarves, patches, caps",6,0,1,1,8,0,0.35,0,28,3.111
S01917,Assault fellow students,6,3,1,1,11,1,0.7,1,2,0.167
S01918,Membership in sororities and fraternities,4,1,0,1,6,1,0.367,0,42,6.0
S01919,"Vandalism, destruction of school properties",2,0,1,1,4,1,0.267,0,68,13.6
S01920,Gaining access to the school computer or computer network,2,3,1,0,6,1,0.483,1,48,6.857
S01921,"Shouting, yelling boisterously, jeering, dropping insults and other noises during class sessions, corridors, guidance and public places",1,0,2,1,4,0,0.25,0,54,10.8
S01922,Real acts of threat (major/minor) that constitute incompatibility,3,2,0,1,6,1,0.433,0,57,8.143
S01923,Engaging in any form of gambling,5,0,1,1,7,1,0.367,1,32,4.0
S01924,Unbecoming attitude of an image as Pitikarts such as gossiping in multi-media to endanger others,1,1,0,1,3,1,0.267,1,78,19.5
S01925,"Display, possession or distribution of pornographic materials, downloading and uploading of pornographic pictures",3,0,0,1,4,1,0.233,0,86,17.2
S01926,Lending/borrowing school ID as pass/for gate access,5,2,1,1,9,1,0.567,1,17,1.7
S01927,"Falsification of official documents, test papers, clearances and confidential",6,0,0,0,6,1,0.25,0,20,2.857
S01928,Lack of respect to faculty/authority,4,1,1,1,7,1,0.433,0,41,5.125
S01929,Students/fellow students - Verbally/Written,1,1,1,1,4,1,0.333,1,82,16.4
S01930,"Not following prescribed hair cut (trendy/punk haircut, long hair and bearded, mohawk, top knot, skinhead)",6,0,0,0,6,0,0.2,0,65,9.286
S01931,"Wearing of heavy make-up or cosmetics (dark mascara, eyeliner, lipsticks, eye shadows, facial make-up)",4,0,2,0,6,0,0.267,1,41,5.857
S01932,Posing of bikini pictures or other videos/body exposure pictures or indecent body pictures,1,0,2,1,4,0,0.25,0,78,15.6
S01933,"Not attending school function/activities (Mass/Novena, Program/Forum, Seminar/Symposium, GE/SG, ALC)",5,0,0,0,5,0,0.167,1,50,8.333
S01934,Pushing of prohibited drugs,5,1,0,0,6,1,0.317,0,45,6.429
S01935,Colored dyed color/hair/beard,3,0,2,1,6,0,0.317,1,82,11.714
S01936,"Falsification of official documents, test papers, clearances and confidential",3,2,1,1,7,1,0.5,1,29,3.625
S01937,Use of foul language,5,0,1,1,7,0,0.317,0,45,5.625
S01938,Unexcused tardiness/absence from class,3,0,3,0,6,0,0.3,0,62,8.857
S01939,"Direct assault on the person or any member of the administration, faculty, staff, and/or any person vested with authority",4,0,0,0,4,1,0.183,0,74,14.8
S01940,Circulating destructive language and statement that is against the school through any platform,2,3,0,0,5,1,0.417,1,58,9.667
S01941,Recruitment and/or membership in sororities and fraternities,4,1,0,0,5,1,0.283,1,59,9.833
S01942,Wearing of accessories not part of the daily uniform (e.g. multiple pairs of earrings for females),1,0,0,0,1,0,0.033,1,87,43.5
S01943,"Wearing of school uniform/program uniform improperly (e.g. club shirt, outing, internet places)",6,0,0,0,6,0,0.2,0,48,6.857
S01944,Bringing dishonor to the name of school,4,3,0,1,8,1,0.567,0,29,3.222
S01945,Assault fellow students,4,1,1,1,7,1,0.433,0,50,6.25
S01946,"Wearing of heavy make-up or cosmetics (dark mascara, eyeliner, lipsticks, eye shadows, facial make-up)",4,0,3,1,8,0,0.417,0,38,4.222
S01947,Wearing of improper and other colored PE uniforms,1,0,1,0,2,0,0.1,1,89,29.667
S01948,"Wearing of scarves, patches, caps",6,0,0,1,7,0,0.283,0,38,4.75
S01949,Bringing outsiders to school during school function/activity,1,0,1,0,2,1,0.15,0,97,32.333
S01950,"Introducing false information, accessing someone else’s account and sending offensive email, etc.",2,2,0,0,4,1,0.317,0,65,13.0
S01951,Lending/borrowing school ID as pass/for gate access,5,2,1,0,8,1,0.483,0,16,1.778
S01952,Forgery,6,0,1,0,7,1,0.317,1,53,6.625
S01953,"Possession or use of deadly weapons, explosives, prohibited drugs",2,3,1,0,6,1,0.483,0,43,6.143
S01954,Conviction for a criminal offense by the administrator's judgment,2,2,1,1,6,1,0.467,0,47,6.714
S01955,"Cheating in examinations, projects, case reports and research papers of others",6,2,0,0,8,1,0.45,0,24,2.667
S01956,Bringing outsiders to school during school function/activity,5,1,0,1,7,1,0.4,0,53,6.625
S01957,Engaging in trouble outside the campus endangering the name of school,4,0,0,0,4,1,0.183,1,42,8.4
S01958,Leaving the classroom without permission during class hour and school activity,1,0,1,0,2,1,0.15,0,100,33.333
S01959,Public display of affection in any places inside the campus or in social media,4,0,0,1,5,0,0.217,0,67,11.167
S01960,"Purchase, sale or distribution of alcoholic beverages or cigarettes",2,1,1,0,4,1,0.283,1,71,14.2
S01961,"Littering the campus (candy wrappers, bottles, plastic materials)",1,0,0,1,2,0,0.117,0,83,27.667
S01962,"Engaging outside marriage, obscene and immoral conduct in and off campus",2,1,1,1,5,1,0.367,1,64,10.667
S01963,Students/fellow students - Physically,4,0,0,1,5,1,0.267,1,62,10.333
S01964,Bringing dishonor to the name of school,3,1,1,0,5,1,0.317,0,66,11.0
S01965,"Smoking, vaping or possession of cigarettes, drinking hard drinks or liquor in and outside the school campus",1,1,1,1,4,1,0.333,1,76,15.2
S01966,Unauthorized use of information,6,1,1,1,9,1,0.5,0,26,2.6
S01967,Pushing of prohibited drugs,2,2,1,1,6,1,0.467,0,52,7.429
S01968,Unauthorized use of information,4,1,1,1,7,1,0.433,0,42,5.25
S01969,Wearing of accessories not part of the daily uniform (e.g. multiple pairs of earrings for females),1,0,1,1,3,0,0.183,0,77,19.25
S01970,Gaining access to the school computer or computer network,6,1,1,0,8,1,0.417,1,44,4.889
S01971,Extortion or blackmailing or attempt,1,2,0,0,3,1,0.283,0,80,20.0
S01972,Students/fellow students - Physically,5,3,1,1,10,1,0.667,0,0,0.0
S01973,"Gross acts of disobedience, disrespect in words and in deeds which tend to put the school or any member of the administration, faculty, staff and maintenance or students in ridicule or contempt",3,1,0,1,5,1,0.333,1,64,10.667
S01974,Bringing outsiders to school during school function/activity,2,0,1,1,4,1,0.267,0,71,14.2
S01975,"Introduction of improper, foul or indecent language or gesture",2,1,0,1,4,1,0.3,1,66,13.2
S01976,Bringing dishonor to the name of school,2,3,0,0,5,1,0.417,1,54,9.0
S01977,Wearing of improper and other colored PE uniforms,1,0,3,1,5,0,0.317,0,80,13.333
S01978,"Wearing inappropriate/incomplete uniform (No validated ID, flat shoes, colored pants, colored t-shirt, no/old socks)",1,0,1,0,2,0,0.1,0,95,31.667
S01979,"Wearing of plunging necklines, backless, spaghetti straps, indecent attire",2,3,0,0,5,1,0.417,0,50,8.333
S01980,Membership in sororities and fraternities,5,2,0,1,8,1,0.5,1,36,4.0
S01981,Bringing outsiders to school for improper purpose,3,0,1,0,4,1,0.217,0,58,11.6
S01982,Unbecoming attitude of an image as Pitikarts such as gossiping in multi-media to endanger others,2,0,1,0,3,1,0.183,1,63,15.75
S01983,Bullying (Cyber or otherwise) Faculty members/personnel,1,3,0,1,5,1,0.467,1,53,8.833
S01984,Wearing of accessories not part of the daily uniform (e.g. multiple pairs of earrings for females),3,0,1,1,5,0,0.25,0,69,11.5
S01985,Organizing of groups for purpose of destroying school properties,1,2,1,0,4,1,0.35,1,79,15.8
S01986,"Wearing of plunging necklines, backless, spaghetti straps, indecent attire",5,2,1,1,9,1,0.567,1,32,3.2
S01987,Unexcused tardiness/absence from class,4,0,1,0,5,0,0.2,0,66,11.0
S01988,Unauthorized use of information,5,1,1,0,7,1,0.383,1,47,5.875
S01989,"Wearing of heavy make-up or cosmetics (dark mascara, eyeliner, lipsticks, eye shadows, facial make-up)",3,0,1,0,4,0,0.167,0,61,12.2
S01990,Wearing and using of electronic headset and/or audio/electronic gadgets and tools during class without teacher's permission,5,0,1,1,7,0,0.317,1,47,5.875
S01991,Placing of stickers and other objects on school ID,1,0,0,0,1,0,0.033,0,99,49.5
S01992,"Wearing of heavy make-up or cosmetics (dark mascara, eyeliner, lipsticks, eye shadows, facial make-up)",3,0,3,0,6,0,0.3,1,65,9.286
S01993,Conviction for a criminal offense by the administrator's judgment,5,0,0,1,6,1,0.3,0,59,8.429
S01994,Wearing and using of electronic headset and/or audio/electronic gadgets and tools during class without teacher's permission,4,0,0,1,5,0,0.217,1,64,10.667
S01995,Public display of affection in any places inside the campus or in social media,2,0,2,0,4,0,0.2,0,75,15.0
S01996,Unauthorized use of information,4,3,1,0,8,1,0.55,0,45,5.0
S01997,"Direct assault on the person or any member of the administration, faculty, staff, and/or any person vested with authority",6,0,0,0,6,1,0.25,0,45,6.429
S01998,Organizing of groups for purpose of destroying school properties,3,1,0,0,4,1,0.25,0,56,11.2
S01999,"Altering information (e.g., changing the password of someone else's account and accessed data/files beyond authorization)",6,1,1,1,9,1,0.5,1,24,2.4
S02000,Jumping over the fence,6,3,1,0,10,1,0.617,0,9,0.818
S02001,Using another person's identity,3,2,0,0,5,1,0.35,0,50,8.333
S02002,"Purchase, sale or distribution of alcoholic beverages or cigarettes",6,3,0,0,9,1,0.55,0,20,2.0
S02003,Leaving the classroom without permission during class hour and school activity,2,0,1,0,3,1,0.183,0,69,17.25
S02004,"Wearing of heavy make-up or cosmetics (dark mascara, eyeliner, lipsticks, eye shadows, facial make-up)",6,0,0,0,6,0,0.2,1,42,6.0
S02005,Indecency in media,2,0,2,0,4,0,0.2,0,53,10.6
S02006,Engaging in trouble outside the campus endangering the name of school,3,3,1,0,7,1,0.517,1,46,5.75
S02007,"A student caught lending, borrowing, using another person’s ID/SSP",1,0,2,1,4,0,0.25,0,74,14.8
S02008,"Not following prescribed hair cut (trendy/punk haircut, long hair and bearded, mohawk, top knot, skinhead)",6,0,0,0,6,0,0.2,0,37,5.286
S02009,Unexcused tardiness/absence from class,6,0,0,1,7,0,0.283,0,45,5.625
S02010,Bringing outsiders to school during school function/activity,4,0,0,1,5,1,0.267,0,66,11.0
S02011,"Smoking, vaping or possession of cigarettes, drinking hard drinks or liquor in and outside the school campus",2,3,0,0,5,1,0.417,1,41,6.833
S02012,Verbal or physical altercation between students or group of students,2,3,0,1,6,1,0.5,1,43,6.143
S02013,Shoplifting,5,2,0,0,7,1,0.417,0,31,3.875
S02014,Pushing of prohibited drugs,1,3,0,0,4,1,0.383,0,57,11.4
S02015,Forgery,5,3,0,0,8,1,0.517,1,39,4.333
S02016,Students/fellow students - Verbally/Written,6,0,0,1,7,1,0.333,1,37,4.625
S02017,Promoting or participating in immoral/indecent conduct on or off campus,2,2,1,0,5,1,0.383,0,58,9.667
S02018,"Not following prescribed hair cut (trendy/punk haircut, long hair and bearded, mohawk, top knot, skinhead)",5,0,3,1,9,0,0.45,1,12,1.2
S02019,Shoplifting,4,0,0,0,4,1,0.183,0,70,14.0
S02020,Providing/financing parties for prohibited drugs,3,3,0,1,7,1,0.533,1,29,3.625
S02021,Promoting or participating in immoral/indecent conduct on or off campus,1,2,1,1,5,1,0.433,1,63,10.5
S02022,Lending/borrowing school ID as pass/for gate access,2,0,1,0,3,1,0.183,1,79,19.75
S02023,"Wearing of ripped/distressed jeans, crop top, sleeveless, backless, off-shoulder, see-through blouses, spaghetti strap, tube top, body cone, mini skirt, open toe shoes",3,0,3,0,6,0,0.3,0,71,10.143
S02024,Conviction for a criminal offense by the administrator's judgment,4,3,0,0,7,1,0.483,0,26,3.25
S02025,"Unauthorized enrichment or stealing whether attempted, frustrated, or consummated",5,0,1,1,7,1,0.367,1,12,1.5
S02026,Real acts of threat (major/minor) that constitute incompatibility,3,0,0,1,4,1,0.233,1,67,13.4
S02027,Wearing of accessories not part of the daily uniform (e.g. multiple pairs of earrings for females),3,0,0,0,3,0,0.1,0,91,22.75
S02028,"Wearing inappropriate/incomplete uniform (No validated ID, flat shoes, colored pants, colored t-shirt, no/old socks)",3,0,2,1,6,0,0.317,0,68,9.714
S02029,"Wearing of heavy make-up or cosmetics (dark mascara, eyeliner, lipsticks, eye shadows, facial make-up)",2,0,0,0,2,0,0.067,1,84,28.0
S02030,Bringing outsiders to school during school function/activity,2,1,1,0,4,1,0.283,0,64,12.8
S02031,"Purchase, sale or distribution of alcoholic beverages or cigarettes",5,1,1,1,8,1,0.467,1,43,4.778
S02032,"Unauthorized enrichment or stealing whether attempted, frustrated, or consummated",6,3,1,1,11,1,0.7,0,0,0.0
S02033,"Introducing false information, accessing someone else’s account and sending offensive email, etc.",3,2,0,0,5,1,0.35,1,61,10.167
S02034,Students/fellow students - Verbally/Written,1,2,1,1,5,1,0.433,1,68,11.333
S02035,"Insubordination to authorities, supervisors, and personnel, faculty members verbally, in writing, physically and slander/oral defamation",1,3,1,0,5,1,0.45,0,72,12.0
S02036,"Possession or use of deadly weapons, explosives, prohibited drugs",2,2,0,1,5,1,0.4,1,86,14.333
S02037,Wearing and using of electronic headset and/or audio/electronic gadgets and tools during class without teacher's permission,6,0,3,1,10,0,0.483,0,27,2.455
S02038,"Wearing of heavy make-up or cosmetics (dark mascara, eyeliner, lipsticks, eye shadows, facial make-up)",2,0,3,1,6,0,0.35,1,54,7.714
S02039,"Littering the campus (candy wrappers, bottles, plastic materials)",6,0,0,1,7,0,0.283,1,38,4.75
S02040,Engaging in premarital sex,6,3,0,0,9,1,0.55,0,4,0.4
S02041,"Falsification of official documents, test papers, clearances and confidential",4,0,0,1,5,1,0.267,0,50,8.333
S02042,Engaging in any form of gambling,5,3,0,1,9,1,0.6,1,19,1.9
S02043,Unexcused tardiness/absence from class,5,0,0,1,6,0,0.25,1,42,6.0
S02044,"Stealing property of the school, students, school personnel, and fellow students",6,0,1,0,7,1,0.317,1,42,5.25
S02045,Preventing normal operation (e.g. changing the configuration or BIOS setup of computers),4,0,0,0,4,1,0.183,0,55,11.0
S02046,"Gross acts of disobedience, disrespect in words and in deeds which tend to put the school or any member of the administration, faculty, staff and maintenance or students in ridicule or contempt",4,2,1,1,8,1,0.533,0,47,5.222
S02047,Bringing dishonor to the name of school,5,1,0,0,6,1,0.317,1,47,6.714
S02048,Lack of respect to faculty/authority,5,1,1,0,7,1,0.383,1,41,5.125
S02049,"Grave threat on any student, personnel or administrator",5,1,1,1,8,1,0.467,1,31,3.444
S02050,Bullying (Cyber or otherwise) Faculty members/personnel,3,1,0,0,4,1,0.25,1,66,13.2
S02051,"Forging signatures of school authorities, parents, guardians or students",2,2,1,1,6,1,0.467,0,62,8.857
S02052,Forgery,3,0,0,1,4,1,0.233,0,57,11.4
S02053,Bullying (Cyber or otherwise) Faculty members/personnel,1,0,0,1,2,1,0.167,0,77,25.667
S02054,"Possession or use of deadly weapons, explosives, prohibited drugs",6,1,1,1,9,1,0.5,0,22,2.2
S02055,"Direct assault on the person or any member of the administration, faculty, staff, and/or any person vested with authority",2,0,1,0,3,1,0.183,0,63,15.75
S02056,Unbecoming attitude of an image as Pitikarts such as gossiping in multi-media to endanger others,4,0,0,1,5,1,0.267,0,48,8.0
S02057,"Purchase, sale or distribution of alcoholic beverages or cigarettes",5,2,0,1,8,1,0.5,0,27,3.0
S02058,Wilful and malicious damage of the property of any member of school community,4,3,0,1,8,1,0.567,0,41,4.556
S02059,Organizing of groups for purpose of destroying school properties,5,0,1,1,7,1,0.367,0,45,5.625
S02060,Bullying (Cyber or otherwise) Faculty members/personnel,1,2,0,1,4,1,0.367,1,69,13.8
S02061,Verbal or physical altercation between students or group of students,5,2,0,0,7,1,0.417,0,47,5.875
S02062,"Shouting, yelling boisterously, jeering, dropping insults and other noises during class sessions, corridors, guidance and public places",4,0,3,1,8,0,0.417,1,40,4.444
S02063,"Wearing of heavy make-up or cosmetics (dark mascara, eyeliner, lipsticks, eye shadows, facial make-up)",6,0,2,0,8,0,0.333,0,39,4.333
S02064,Circulating destructive language and statement that is against the school through any platform,2,1,1,1,5,1,0.367,1,60,10.0
S02065,Wearing of accessories not part of the daily uniform (e.g. multiple pairs of earrings for females),3,0,0,1,4,0,0.183,0,68,13.6
S02066,"Wearing of heavy make-up or cosmetics (dark mascara, eyeliner, lipsticks, eye shadows, facial make-up)",1,0,0,1,2,0,0.117,0,78,26.0
S02067,"Insubordination to authorities, supervisors, and personnel, faculty members verbally, in writing, physically and slander/oral defamation",5,2,0,0,7,1,0.417,1,14,1.75
S02068,Lack of respect to faculty/authority,5,1,0,1,7,1,0.4,1,38,4.75
S02069,"Grave threat on any student, personnel or administrator",3,2,1,1,7,1,0.5,1,59,7.375
S02070,Posing of bikini pictures or other videos/body exposure pictures or indecent body pictures,6,0,0,0,6,0,0.2,0,55,7.857
S02071,Public display of affection in any places inside the campus or in social media,2,0,1,0,3,0,0.133,0,86,21.5
S02072,Verbal or physical altercation between students or group of students,3,2,0,0,5,1,0.35,0,69,11.5
S02073,Use of foul language,3,0,1,0,4,0,0.167,1,68,13.6
S02074,Lack of respect to faculty/authority,2,2,1,1,6,1,0.467,1,55,7.857
S02075,"Direct assault on the person or any member of the administration, faculty, staff, and/or any person vested with authority",6,2,1,0,9,1,0.517,1,18,1.8
S02076,"Gross acts of disobedience, disrespect in words and in deeds which tend to put the school or any member of the administration, faculty, staff and maintenance or students in ridicule or contempt",6,2,1,0,9,1,0.517,0,21,2.1
S02077,"Direct assault on the person or any member of the administration, faculty, staff, and/or any person vested with authority",5,1,1,0,7,1,0.383,0,48,6.0
S02078,Use of foul language,5,0,3,1,9,0,0.45,0,45,4.5
S02079,Wearing of accessories not part of the daily uniform (e.g. multiple pairs of earrings for females),2,0,2,0,4,0,0.2,1,70,14.0
S02080,Pushing of prohibited drugs,6,1,0,0,7,1,0.35,0,33,4.125
S02081,Extortion or blackmailing or attempt,4,3,1,0,8,1,0.55,1,35,3.889
S02082,Bringing outsiders to school for improper purpose,5,0,0,0,5,1,0.217,1,61,10.167
S02083,Bullying (Cyber or otherwise) Faculty members/personnel,6,1,0,0,7,1,0.35,1,23,2.875
S02084,Gaining access to the school computer or computer network,3,2,0,1,6,1,0.433,1,27,3.857
S02085,Gaining access to the school computer or computer network,4,2,1,1,8,1,0.533,1,30,3.333
S02086,Use of foul language,2,0,1,0,3,0,0.133,1,64,16.0
S02087,Membership in sororities and fraternities,6,2,1,1,10,1,0.6,1,12,1.091
S02088,Posing of bikini pictures or other videos/body exposure pictures or indecent body pictures,2,0,1,1,4,0,0.217,1,68,13.6
S02089,Forgery,6,2,1,1,10,1,0.6,1,13,1.182
S02090,Unauthorized use of information,4,1,1,1,7,1,0.433,1,58,7.25
S02091,Public display of affection in any places inside the campus or in social media,3,0,1,0,4,0,0.167,0,71,14.2
S02092,Recruitment and/or membership in sororities and fraternities,6,3,1,1,11,1,0.7,1,13,1.083
S02093,Gambling/betting in all forms,5,2,0,1,8,1,0.5,0,38,4.222
S02094,"Introduction of improper, foul or indecent language or gesture",5,3,0,1,9,1,0.6,1,12,1.2
S02095,Colored dyed color/hair/beard,6,0,2,0,8,0,0.333,0,46,5.111
S02096,"Wearing inappropriate/incomplete uniform (No validated ID, flat shoes, colored pants, colored t-shirt, no/old socks)",3,0,0,0,3,0,0.1,1,72,18.0
S02097,"Littering the campus (candy wrappers, bottles, plastic materials)",5,0,2,0,7,0,0.3,1,51,6.375
S02098,"Wearing of ripped/distressed jeans, crop top, sleeveless, backless, off-shoulder, see-through blouses, spaghetti strap, tube top, body cone, mini skirt, open toe shoes",4,0,3,1,8,0,0.417,0,31,3.444
S02099,Wilful failure to comply with promises or notices issued for purposes of investigation in connection with conducted trial of offense,5,2,1,1,9,1,0.567,1,11,1.1
S02100,"Wearing of plunging necklines, backless, spaghetti straps, indecent attire",3,1,0,1,5,1,0.333,0,66,11.0
S02101,"Smoking, vaping or possession of cigarettes, drinking hard drinks or liquor in and outside the school campus",4,3,1,1,9,1,0.633,0,31,3.1
S02102,Cybersecurity breach (plagiarism),3,2,1,0,6,1,0.417,1,42,6.0
S02103,Engaging in trouble outside the campus endangering the name of school,6,1,0,1,8,1,0.433,1,22,2.444
S02104,"Engaging outside marriage, obscene and immoral conduct in and off campus",2,1,1,0,4,1,0.283,1,80,16.0
S02105,Public display of affection in any places inside the campus or in social media,5,0,2,1,8,0,0.383,0,26,2.889
S02106,"Altering information (e.g., changing the password of someone else's account and accessed data/files beyond authorization)",1,1,0,1,3,1,0.267,0,92,23.0
S02107,Conviction for a criminal offense by the administrator's judgment,4,1,0,0,5,1,0.283,1,46,7.667
S02108,"Insubordination to authorities, supervisors, and personnel, faculty members verbally, in writing, physically and slander/oral defamation",4,3,1,1,9,1,0.633,1,34,3.4
S02109,Gambling/betting in all forms,1,0,1,0,2,1,0.15,0,82,27.333
S02110,"Insubordination to authorities, supervisors, and personnel, faculty members verbally, in writing, physically and slander/oral defamation",4,0,1,0,5,1,0.25,0,65,10.833
S02111,Public display of affection in any places inside the campus or in social media,3,0,3,1,7,0,0.383,1,45,5.625
S02112,"Grave threat on any student, personnel or administrator",6,3,1,0,10,1,0.617,1,15,1.364
S02113,Engaging in any form of gambling,5,3,1,1,10,1,0.667,1,19,1.727
S02114,"Introducing false information, accessing someone else’s account and sending offensive email, etc.",6,3,1,0,10,1,0.617,0,6,0.545
S02115,"Cheating in examinations, projects, case reports and research papers of others",5,1,0,0,6,1,0.317,1,54,7.714
S02116,Verbal or physical altercation between students or group of students,6,1,0,1,8,1,0.433,1,25,2.778
S02117,Unexcused tardiness/absence from class,5,0,0,1,6,0,0.25,0,45,6.429
S02118,Promoting or participating in immoral/indecent conduct on or off campus,6,1,0,1,8,1,0.433,1,21,2.333
S02119,"Wearing of plunging necklines, backless, spaghetti straps, indecent attire",6,2,1,0,9,1,0.517,0,0,0.0
S02120,"Damage, destruction of network, computer or information (e.g., deleting someone else's file)",3,2,0,0,5,1,0.35,1,55,9.167
S02121,Lack of respect to faculty/authority,4,3,1,1,9,1,0.633,0,52,5.2
S02122,Bringing outsiders to school for improper purpose,2,0,1,0,3,1,0.183,1,84,21.0
S02123,Viewing pornographic sites on the Internet/websites in the Computer Laboratory,4,2,1,1,8,1,0.533,1,35,3.889
S02124,"Not attending school function/activities (Mass/Novena, Program/Forum, Seminar/Symposium, GE/SG, ALC)",3,0,2,1,6,0,0.317,1,53,7.571
S02125,Providing/financing parties for prohibited drugs,2,2,0,1,5,1,0.4,1,59,9.833
S02126,"Cheating in examinations, projects, case reports and research papers of others",3,1,1,0,5,1,0.317,0,65,10.833
S02127,Leaving the classroom without permission during class hour and school activity,3,3,1,0,7,1,0.517,1,32,4.0
S02128,Students/fellow students - Physically,3,0,1,0,4,1,0.217,1,79,15.8
S02129,Consistent violation of school rules and regulations,2,2,0,1,5,1,0.4,0,66,11.0
S02130,Assault fellow students,2,3,1,0,6,1,0.483,1,60,8.571
S02131,"Wearing of plunging necklines, backless, spaghetti straps, indecent attire",2,2,1,1,6,1,0.467,1,58,8.286
S02132,"Grave threat on any student, personnel or administrator",5,0,0,1,6,1,0.3,0,48,6.857
S02133,Gaining access to the school computer or computer network,3,2,1,0,6,1,0.417,1,58,8.286
S02134,"Littering the campus (candy wrappers, bottles, plastic materials)",5,0,3,1,9,0,0.45,1,38,3.8
S02135,Students/fellow students - Physically,1,3,0,1,5,1,0.467,1,56,9.333
S02136,Students/fellow students - Verbally/Written,4,0,1,0,5,1,0.25,1,53,8.833
S02137,"A student caught lending, borrowing, using another person’s ID/SSP",2,0,3,0,5,0,0.267,0,68,11.333
S02138,"Wearing of heavy make-up or cosmetics (dark mascara, eyeliner, lipsticks, eye shadows, facial make-up)",2,0,3,0,5,0,0.267,1,82,13.667
S02139,"Wearing of scarves, patches, caps",2,0,3,1,6,0,0.35,0,47,6.714
S02140,"Wearing of scarves, patches, caps",3,0,1,0,4,0,0.167,0,53,10.6
S02141,Organizing of groups for purpose of destroying school properties,4,3,1,0,8,1,0.55,0,36,4.0
S02142,Colored dyed color/hair/beard,6,0,3,1,10,0,0.483,1,24,2.182
S02143,Wearing of improper and other colored PE uniforms,3,0,2,1,6,0,0.317,0,57,8.143
S02144,Lending/borrowing school ID as pass/for gate access,3,3,0,0,6,1,0.45,0,51,7.286
S02145,Wearing and using of electronic headset and/or audio/electronic gadgets and tools during class without teacher's permission,5,0,3,0,8,0,0.367,0,37,4.111
S02146,Engaging in premarital sex,1,0,0,1,2,1,0.167,0,98,32.667
S02147,"Not attending school function/activities (Mass/Novena, Program/Forum, Seminar/Symposium, GE/SG, ALC)",2,0,0,0,2,0,0.067,0,65,21.667
S02148,Promoting or participating in immoral/indecent conduct on or off campus,1,0,1,0,2,1,0.15,0,77,25.667
S02149,Cybersecurity breach (plagiarism),4,1,0,1,6,1,0.367,0,47,6.714
S02150,Conviction for a criminal offense by the administrator's judgment,3,0,1,1,5,1,0.3,1,44,7.333
S02151,"Smoking, vaping or possession of cigarettes, drinking hard drinks or liquor in and outside the school campus",1,0,0,0,1,1,0.083,1,89,44.5
S02152,Organizing of groups for purpose of destroying school properties,2,2,1,1,6,1,0.467,1,70,10.0
S02153,"Introducing false information, accessing someone else’s account and sending offensive email, etc.",2,3,1,0,6,1,0.483,1,53,7.571
S02154,Colored nail polish,2,0,1,0,3,0,0.133,1,79,19.75
S02155,"Grave threat on any student, personnel or administrator",5,1,1,0,7,1,0.383,0,29,3.625
S02156,"Possession or use of deadly weapons, explosives, prohibited drugs",2,1,1,0,4,1,0.283,1,62,12.4
S02157,Forgery,2,0,1,0,3,1,0.183,1,73,18.25
S02158,Wearing and using of electronic headset and/or audio/electronic gadgets and tools during class without teacher's permission,2,0,0,0,2,0,0.067,0,78,26.0
S02159,Indecency in media,2,0,3,1,6,0,0.35,1,72,10.286
S02160,Organizing of groups for purpose of destroying school properties,4,0,1,0,5,1,0.25,0,64,10.667
S02161,"Wearing inappropriate/incomplete uniform (No validated ID, flat shoes, colored pants, colored t-shirt, no/old socks)",6,0,1,0,7,0,0.267,0,29,3.625
